TAG	TEXT	COMMENT
BOH_ANDUIN_06	Это существо стоит у вас на пути! Победите его, а затем еще двух легендарных противников.	
BOH_ANDUIN_08	Победите легендарных существ Сильваны, чтобы выиграть бой!	
BOH_GARROSH_05	Перед мак'гора над оружием проводят традиционный обряд благословения!	
BOH_GULDAN_01	Осталось продержаться |4(ход,хода,ходов)	
BOH_GULDAN_02	Осталось разыграть заклинаний шамана:	
BOH_GULDAN_02b	Разыграйте заклинания шамана и покажите Трону Стихий, на что способны.	
BOH_GULDAN_08	На вас взирает Око Саргераса! Разыграйте дорогостоящие карты, пока не потеряли слишком много кристаллов маны.	
BOH_ILLIDAN_01	Существ противника осталось	
BOH_ILLIDAN_02	Нанесите противникам 40 ед. урона, чтобы получить череп Гул'дана!	
BOH_ILLIDAN_04	Потратьте ману для Ока Саргераса	
BOH_ILLIDAN_04b	Вы можете усилить Око Саргераса, потратив ману, чтобы атаковать Короля-лича издалека. Не дайте Малфуриону помешать вам!	
BOH_ILLIDAN_07	Обелисков осталось	
BOH_ILLIDAN_08	Осталось продержаться |4(ход,хода,ходов)	
BOH_MALFURION_01	Тренировочных карт осталось	
BOH_MALFURION_01b	Чтобы пройти тренировку, разыгрывайте карты, которые вам дает Кенарий!	
BOH_REXXAR_02	Уничтожьте медвежью ловушку, чтобы завоевать доверие Миши!	
BOH_THRALL_01	Это бой из трех раундов! Вы получаете новую руку и новую колоду после победы над попавшимся кроколиском.	
BOH_THRALL_01a	Начинается 2-й раунд! Сразитесь с обеими горными кошками!	
BOH_THRALL_01b	Начинается 3-й раунд! Одолейте огра-громилу.	
BOH_THRALL_02	Победите духов стихий, чтобы пройти испытание.	
BOH_THRALL_06	Алекстраза три раза полностью восстановит ваше здоровье, если вы получите смертельный урон. Но она не может вас спасти, когда находится в спячке.	
BOH_THRALL_08	Гаррош обрел с опасную силу. Она — его последний довод.	
BOH_UTHER_08	Осталось продержаться |4(ход,хода,ходов)	
BOH_VALEERA_01	Уничтожьте тренировочный тотем, чтобы доказать, что вы — настоящий гладиатор!	
BOH_VALEERA_08	Бесшумных теней осталось	
BOH_VALEERA_08b	Атакуйте бесшумные тени, пока у них не кончится здоровье, чтобы пройти испытание Джораха!	
BOM_GUFF_02	Расщелины осталось исследовать	
BOM_TAMSIN_07	Анетерон может остановить армию Штормграда. Призови 7 демонов и пробуди его.	
BOM_TAMSIN_08	Корнелиус не получает урона от атак существ. Но, может, он уязвим к чему-то еще?	
BOTA_PUZZLE_CONGRATULATIONS	Отлично!	
BOTA_PUZZLE_END_TURN_REMINDER	Если что-то не получается, попробуйте еще раз.	
BOTA_PUZZLE_LOADING	Следующая головоломка...	
BOTA_PUZZLE_PROGRESS	Головоломка {0}/{1}	
BOTA_PUZZLE_RESETTING	Сброс головоломки...	
DALA_MISSION_CHAPTER_SUBTEXT_01	Банк Даларана	
DALA_MISSION_CHAPTER_SUBTEXT_01_HEROIC	Банк Даларана (героич.)	
DALA_MISSION_CHAPTER_SUBTEXT_02	Аметистовая крепость	
DALA_MISSION_CHAPTER_SUBTEXT_02_HEROIC	Аметистовая крепость (героич.)	
DALA_MISSION_CHAPTER_SUBTEXT_03	Улицы Даларана	
DALA_MISSION_CHAPTER_SUBTEXT_03_HEROIC	Улицы Даларана (героич.)	
DALA_MISSION_CHAPTER_SUBTEXT_04	Клоака	
DALA_MISSION_CHAPTER_SUBTEXT_04_HEROIC	Клоака (героич.)	
DALA_MISSION_CHAPTER_SUBTEXT_05	Цитадель Кирин-Тора	
DALA_MISSION_CHAPTER_SUBTEXT_05_HEROIC	Цитадель Кирин-Тора (героич.)	
DALA_TAVERN_POPUP	Редактируйте свою колоду приключений в этом походе:\nдобавляйте или убирайте существ — и не только!	
DALA_TAVERN_TURN_START	Передышка в таверне	
DEMON_HUNTER_PROLOGUE_2_PORTAL_POPUP	Уничтожайте нестабильную энергию, чтобы стабилизировать портал!	
FB_BUILDABRAWL_001	Мощь турнира призывателей!	
FB_BUILDABRAWL_002	Маскарад Рагнароса!	
FB_BUILDABRAWL_003	Мощь Йогг-Сарона!	
FB_BUILDABRAWL_004	Мощь существ!	
FB_BUILDABRAWL_005	Турнир случайных призывателей	
FB_BUILDABRAWL_006	Случайный маскарад	
FB_BUILDABRAWL_007	Собеседование у Случай-Сарона	
FB_BUILDABRAWL_008	Случайнощества	
FB_BUILDABRAWL_009	Битва на турнире призывателей	
FB_BUILDABRAWL_010	Битва на маскараде	
FB_BUILDABRAWL_011	Битва на собеседовании у Йогг-Сарона	
FB_BUILDABRAWL_012	Битва во время битвы существ	
FB_BUILDABRAWL_013	Турнир призывателей крови	
FB_BUILDABRAWL_014	Кровавый маскарад	
FB_BUILDABRAWL_015	Кровь Йогг-Сарона	
FB_BUILDABRAWL_016	Кровь существ	
FB_BUILDABRAWL_INTRO	Текущая потасовка:	
FB_BUILDABRAWL_NOTSTARTED	Потасовка Fireside не началась. Обратитесь к хозяину таверны, чтобы создать ее в Сборщике потасовок.	
FB_CHAMPS_FIREBAT_DRUID	Firebat открыл серию финальных матчей этой колодой друида... и не потерпел ни одного поражения, став чемпионом 2014-го года!	
FB_CHAMPS_FIREBAT_HUNTER	Firebat выбрал колоду охотника против чернокнижника DTwo, чтобы отыграться за проигрыш разбойником...	
FB_CHAMPS_FIREBAT_ROGUE	Firebat разгромил жреца DTwo в 2014 г. миракл-разбойником, нанеся тому летальный урон гоблином-аукционистом 12/4.	
FB_CHAMPS_FIREBAT_WARLOCK	В финальных матчах Tiddler Celestial не дал Firebat'у сыграть за чернокнижника. А как все могло сложиться?	
FB_CHAMPS_HUNTERACE_MAGE	Hunterace проиграл зеркальный матч с этой колодой на «Горных великанах» и «Воле призывателя».	
FB_CHAMPS_HUNTERACE_ROGUE	Раскопав правильную карту c помощью «Домушницы», Hunterace одержал первую победу над своим оппонентом.	
FB_CHAMPS_HUNTERACE_SHAMAN	Hunterace победил «зоолока» Viper за счет эффекта усталости в финале чемпионата мира по Hearthstone 2019 года!	
FB_CHAMPS_HUNTERACE_WARRIOR	Эта мощная колода воина, основанная на контроле, была заблокирована в финале. Зато тут ей можно сыграть!	
FB_CHAMPS_MERC14	Колода «Наемники 14» выбила из игры всех соперников в потасовке «Испепеление» в Европе. Как она покажет себя на этот раз?	
FB_CHAMPS_OSTKAKA_MAGE	Ostkaka разыграл эту колоду фриз-мага в матче против темпо-мага Hotform'а и, по иронии судьбы, добил противника «Огненными шарами».	
FB_CHAMPS_OSTKAKA_ROGUE	В финале чемпионата 2015-го года Ostkaka разгромил друида Hotform'а, став новым чемпионом!	
FB_CHAMPS_OSTKAKA_WARRIOR	«Мрачные завсегдатаи» помогли Ostkaka одержать верх над соперником... даже без помощи «Командира Песни Войны». Это была стильная победа!	
FB_CHAMPS_PAVEL_DRUID	Pavel побил DrHippi в миррор-матче, играя этой колодой. Берегитесь больших существ!	
FB_CHAMPS_PAVEL_MAGE	На чемпионате 2016 г. игроку Pavel пришлось принимать по ходу матча множество сложных решений, чтобы вырвать победу. А вы сможете повторить его успех?	
FB_CHAMPS_PAVEL_ROGUE	Этой колоде разбойника пришлось нелегко в матчах против агрессивных соперников, но Pavel справился!	
FB_CHAMPS_PAVEL_SHAMAN	Соперники так и не допустили к игре колоду шамана, которую подготовил Pavel, но у вас есть возможность опробовать ее в деле!	
FB_CHAMPS_PAVEL_WARRIOR	В финальной серии Pavel дважды сыграл за К'Тун-воина: он проиграл воину DrHippi, но одержал победу над друидом.	
FB_CHAMPS_TOM60229_DRUID	tom60229 одержал победу на чемпионате 2018 г., играя этой колодой. Он принял верное решение и не стал сбрасывать «Тотальное заражение» в начале матча.	
FB_CHAMPS_TOM60229_PRIEST	В колоде жреца, которую собрал tom60229, не было копий, зато было много неприятных сюрпризов для противника, особенно в конце матча.	
FB_CHAMPS_TOM60229_ROGUE	Спойлер: tom60229 нанес «Удар в спину» своему собственному существу, чтобы получить «Эдвина ван Клифа» с атакой 10 на втором ходу. Это было жестко!	
FB_CHAMPS_TOM60229_WARLOCK	«Куболок», которого собрал tom60229, не сыграл в финале, но в этой опасной колоде таится множество непонерфленных сюрпризов.	
FB_CHAMPS_VKLIOOON_DRUID	VKLiooon с колодой на «Слезе Оссириана» в долгой борьбе одолела bloodyface, который играл колодой шамана на «Осквернении вод».	
FB_CHAMPS_VKLIOOON_HUNTER	VKLiooon взяла мощный старт и разгромила bloodyface с его колодой друида на «Неизведанной силе». Эта победа принесла ей титул чемпиона мира по Hearthstone 2019 года!	
FB_CHAMPS_VKLIOOON_PRIEST	Колода жреца, которую подготовила VKLioon, была заблокирована в финальных играх чемпионата 2019 года... но здесь-то у нас не финал!	
FB_CHAMPS_VKLIOOON_SHAMAN	Рано вышедший «Заяц-пустынник» и ДВЕ «Эволюции» принесли VKLiooon быструю победу над bloodyface на чемпионате Global Finals 2019.	
FB_DuelersCardsLeft1	Еще 1 карта, и вы сможете брать карты из колоды!	
FB_DuelersCardsLeft2	Еще 2 карты, и вы сможете брать карты из колоды!	
FB_DuelersCardsLeft3	Еще 3 карты, и вы сможете брать карты из колоды!	
FB_DuelersCardsLeft4	Еще 4 карты, и вы сможете брать карты из колоды!	
FB_DuelersCardsLeft5	Еще 5 карт, и вы сможете брать карты из колоды!	
FB_ELO_EVEN	Вы играете наравне с противником, поэтому вы оба можете выбрать улучшенный бонус!	
FB_ELO_FAVORED	У вас больше шансов на победу, поэтому ваш противник получает улучшенный бонус!	
FB_ELO_UNDERDOG	Ваш противник выглядит сильнее, поэтому вы получаете улучшенный бонус!	
FB_IKC_CHOSE_SETUP	Разыграйте новую карту, и она станет выбором хозяина таверны.	
FB_IKC_ENDGAME	Новая карта выбрана! Закончим игру.	
FB_IKC_NEWCARD	Оставить старую карту или использовать новую?	
FB_IKC_SETUP	Хозяин! Есть вопрос...	
FB_JUGGERNAUT_CHOOSE_OPPONENT	Выберите капитана-противника...	
FB_JUGGERNAUT_DRUID	Друид	
FB_JUGGERNAUT_FIRSTLINE	Огонь!	
FB_JUGGERNAUT_HUNTER	Охотник	
FB_JUGGERNAUT_MAGE	Маг	
