TAG	TEXT	COMMENT
BTA_BOSS_03h_BossStart_01	<рычит!>	
BTA_BOSS_14h2_RustedFelReaver_Taunt	<злобные механические звуки>	
BTA_BOSS_21h_Supremus_Death	<умирает>	
BTA_BOSS_21h_Supremus_EmoteResponse	<гулкое рычание>	
BTA_BOSS_21h_Supremus_Play	<грозный рев>	
CarouselGryphon_DALA_Boss_34h_Death	(рушится)	
CarouselGryphon_DALA_Boss_34h_Emote_01	(карусельная музыка)	
CarouselGryphon_DALA_Boss_34h_Emote_02	(карусельная музыка)	
CarouselGryphon_DALA_Boss_34h_Emote_03	(карусельная музыка)	
CarouselGryphon_DALA_Boss_34h_Start	(резкие звуки)	
CarouselGryphon_DALA_Boss_34h_Taunt	(резкие звуки)	
ChromaggusBoss_Death_1	Р-р-р-р!	
ChromaggusBoss_EmoteResponse_1	(рычит)	
ChromaggusBoss_Start_1	Р-р-р!	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	(пищит)	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	(пищит)	
GILA_BOSS_65h_Gobbles_DefeatPlayer	Ре-е-а-а-а-о-о-о!	
GILA_BOSS_65h_Gobbles_EmoteResponse	Ба-а-а-уа-о-р-р-р!	
GILA_BOSS_65h_Gobbles_Intro	Ува-а-у-у-о-о!	
LOE_07_MINE_CART_EMOTES	ДЗЫНЬ	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	(рычит)	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	(ярость)	
LOOTA_BOSS_52h_TreasureVault_Emote	(Дзынь>	
OnyxiaBoss_Death_1	Р-р-р-р-р!	
OnyxiaBoss_EmoteResponse_1	(рычит)	
OnyxiaBoss_Start_1	Р-р-р!	
POPUP_FROST_BRAWL	Усталость! Побеждает тот, у кого к концу следующего хода будет больше здоровья.	
POPUP_FROST_BRAWL_ARMOR	Никакой брони в этой потасовке!	
TB_HM_VO_DALA_Chu_Male_Pandaren_Concede_01	Боссу это не понравится.	
TB_HM_VO_DALA_Chu_Male_Pandaren_Greetings_01	Ничего личного. Просто бизнес.	
TB_HM_VO_DALA_Chu_Male_Pandaren_Oops_01	Ошибка?..	
