TAG	TEXT	COMMENT
PRESENCE_ADVENTURE_MODE_BOH	Читает «Книгу героев»	
PRESENCE_ADVENTURE_MODE_BOM	Читает «Книгу наемников»	
PRESENCE_ADVENTURE_MODE_BOT	Изучает лабораторию	
PRESENCE_ADVENTURE_MODE_BRM_CLASS_CHALLENGE	Классовые испытания Черной горы	
PRESENCE_ADVENTURE_MODE_BRM_HEROIC	Черная гора (героич.)	
PRESENCE_ADVENTURE_MODE_BRM_NORMAL	Черная гора	
PRESENCE_ADVENTURE_MODE_BTA	Начинает «Испытание Скверной»	
PRESENCE_ADVENTURE_MODE_BTA_HEROIC	Начинает испытание в Запределье	
PRESENCE_ADVENTURE_MODE_BTP	Исследует прошлое Иллидана!	
PRESENCE_ADVENTURE_MODE_DAL	Затевает похищение	
PRESENCE_ADVENTURE_MODE_DRG	Взлетает в небо над Драконьим Погостом	
PRESENCE_ADVENTURE_MODE_GIL	Готовится к охоте на монстров	
PRESENCE_ADVENTURE_MODE_ICC_NORMAL	Штурмует Цитадель Ледяной Короны	
PRESENCE_ADVENTURE_MODE_KAR_CLASS_CHALLENGE	Классовые испытания Каражана	
PRESENCE_ADVENTURE_MODE_KAR_HEROIC	Каражан (героич.)	
PRESENCE_ADVENTURE_MODE_KAR_NORMAL	Каражан	
PRESENCE_ADVENTURE_MODE_LOE_CLASS_CHALLENGE	Классовые испытания Лиги исследователей	
PRESENCE_ADVENTURE_MODE_LOE_HEROIC	Лига исследователей (героич.)	
PRESENCE_ADVENTURE_MODE_LOE_NORMAL	Лига исследователей	
PRESENCE_ADVENTURE_MODE_LOOT	Снаряжается для похода в подземелье	
PRESENCE_ADVENTURE_MODE_NAXX_CLASS_CHALLENGE	Классовые испытания Наксрамаса	
PRESENCE_ADVENTURE_MODE_NAXX_HEROIC	Наксрамас (героич.)	
PRESENCE_ADVENTURE_MODE_NAXX_NORMAL	Наксрамас	
PRESENCE_ADVENTURE_MODE_RETURNING_PLAYER_CHALLENGE	Снова гостит в таверне!	
PRESENCE_ADVENTURE_MODE_TRL	Готовится к игрищам...	
PRESENCE_ADVENTURE_MODE_ULD	Планирует экспедицию	
PRESENCE_SCENARIO_BOH_FIGHT_01	Уговаривает Антонидаса	
PRESENCE_SCENARIO_BOH_FIGHT_02	Превосходит принца Кель'таса	
PRESENCE_SCENARIO_BOH_FIGHT_03	Спорит с принцем Артасом	
PRESENCE_SCENARIO_BOH_FIGHT_04	Успокаивает Громмаша	
PRESENCE_SCENARIO_BOH_FIGHT_05	Пробует обхитрить Архимонда	
PRESENCE_SCENARIO_BOH_FIGHT_06	Защищает Терамор	
PRESENCE_SCENARIO_BOH_FIGHT_07	Упрекает Тралла	
PRESENCE_SCENARIO_BOH_FIGHT_08	Изгоняет Похитителей Солнца	
PRESENCE_SCENARIO_BOH10_FIGHT_01	Встречает принца	
PRESENCE_SCENARIO_BOH10_FIGHT_02	Обворовывает Тихондрия	
PRESENCE_SCENARIO_BOH10_FIGHT_03	Грабит гробницу Саргераса	
PRESENCE_SCENARIO_BOH10_FIGHT_04	Препирается с Малфурионом	
PRESENCE_SCENARIO_BOH10_FIGHT_05	Спасает Запределье	
PRESENCE_SCENARIO_BOH10_FIGHT_06	Оскорбляет Ануб'арака	
PRESENCE_SCENARIO_BOH10_FIGHT_07	Сражается с Артасом	
PRESENCE_SCENARIO_BOH10_FIGHT_08	Познает вероломство Акамы	
PRESENCE_SCENARIO_BOH2_FIGHT_01	Призывает к действию	
PRESENCE_SCENARIO_BOH2_FIGHT_02	Убеждает вождя	
PRESENCE_SCENARIO_BOH2_FIGHT_03	Знакомится с Мишей	
PRESENCE_SCENARIO_BOH2_FIGHT_04	Спасает честь Могрина	
PRESENCE_SCENARIO_BOH2_FIGHT_05	Расследует вместе с Джайной	
PRESENCE_SCENARIO_BOH2_FIGHT_06	Спасает Бейна	
PRESENCE_SCENARIO_BOH2_FIGHT_07	Дает отпор Дэлину	
PRESENCE_SCENARIO_BOH2_FIGHT_08	Спасает Мок'Натал	
PRESENCE_SCENARIO_BOH3_FIGHT_01	Беседует с Великой Матерью	
PRESENCE_SCENARIO_BOH3_FIGHT_02	Спорит с Регаром	
PRESENCE_SCENARIO_BOH3_FIGHT_03	Покоряет Нордскол	
PRESENCE_SCENARIO_BOH3_FIGHT_04	Тушит пожары в Оргриммаре	
PRESENCE_SCENARIO_BOH3_FIGHT_05	Сражается на мак'гора	
PRESENCE_SCENARIO_BOH3_FIGHT_06	Атакует Терамор	
PRESENCE_SCENARIO_BOH3_FIGHT_07	Звонит в Божественный колокол	
PRESENCE_SCENARIO_BOH3_FIGHT_08	Противостоит осаде Оргриммара	
PRESENCE_SCENARIO_BOH4_FIGHT_01	Впечатляет архиепископа Фаола	
PRESENCE_SCENARIO_BOH4_FIGHT_02	Защищает Лордерон	
PRESENCE_SCENARIO_BOH4_FIGHT_03	Сражается с Вароком Саурфангом	
PRESENCE_SCENARIO_BOH4_FIGHT_04	Уничтожает Темный портал	
