TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	[x]<b>Неуловимость</b>. <b>Яд</b>.\n <b>Божественный_щит</b>.  <b>Провокация</b>.\n <b>Похищение_жизни</b>. <b>Натиск</b>.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	<b>Неуловимость</b>. <b>Яд</b>.\n[x]Другие ваши существа\nполучают +1 к атаке.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	<b>Неуловимость</b>. <b>Яд</b>.\n[x]В конце вашего хода наносит\n3_ед. урона вашему_герою.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	<b>Неуловимость</b>. <b>Яд</b>.\n[x]В начале вашего хода атака\n_этого существа удваивается.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	<b>Неуловимость</b>. <b>Яд</b>.\n[x]Стоит на (1) меньше за\n__каждое ваше существо.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	<b>Неуловимость</b>. <b>Яд</b>.\n<b>Боевой клич:</b> призывает\n[x]_копию этого существа.	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	<b>Неуловимость</b>. <b>Яд</b>.\n<b>Предсмертный хрип:</b> вы_замешиваете эту карту в_колоду.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>Божественный щит</b>. <b>Провокация</b>. <b>Похищение жизни</b>. <b>Натиск</b>.\nДругие ваши существа получают_+1 к атаке.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	<b>Божественный щит</b>. <b>Провокация</b>. <b>Похищение жизни</b>. <b>Натиск</b>.\nВ конце вашего хода наносит_3_ед. урона вашему_герою.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	<b>Божественный щит</b>. <b>Провокация</b>. <b>Похищение жизни</b>. <b>Натиск</b>.\nВ начале вашего хода атака этого существа удваивается.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>Божественный щит</b>. <b>Провокация</b>. <b>Похищение жизни</b>. <b>Натиск</b>.\nСтоит на (1) меньше за каждое ваше существо.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>Божественный щит</b>. <b>Провокация</b>. <b>Похищение жизни</b>. <b>Натиск</b>.\n<b>Боевой клич:</b> призывает копию этого существа.	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	<b>Божественный щит</b>. <b>Провокация</b>. <b>Похищение жизни</b>. <b>Натиск</b>.\n<b>Предсмертный хрип</b>: вы_замешиваете эту карту в колоду.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	Другие ваши существа\nполучают +1 к атаке.\nВ_конце вашего хода наносит\n[x]__3 ед. урона вашему герою.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	Другие ваши существа\nполучают +1 к атаке.\nВ_начале вашего хода атака\n[x]___этого существа удваивается.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	Другие ваши существа\nполучают +1 к атаке.\nСтоит на_(1) меньше\n___за каждое ваше существо.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	Другие ваши существа\nполучают +1 к атаке.\n<b>Боевой клич:</b> призывает\nкопию этого существа.	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	Другие ваши существа\nполучают +1 к атаке.\n<b>[x]Предсмертный хрип:</b>\nвы замешиваете эту \nкарту в колоду.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	В_конце вашего хода наносит 3_ед. урона вашему герою. В_начале вашего хода атака_этого существа_удваивается.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	В_конце вашего хода наносит 3_ед. урона вашему герою. Стоит на_(1) меньше за каждое ваше существо.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	В_конце вашего хода наносит 3_ед. урона вашему герою. <b>Боевой клич:</b> призывает копию этого существа.	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	В_конце вашего хода наносит 3_ед. урона вашему герою.\n<b>Предсмертный хрип</b>: вы замешиваете эту карту в_колоду.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	В начале вашего хода атака этого существа удваивается. Стоит на_(1) меньше за каждое ваше существо.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	В начале вашего хода атака этого существа удваивается. <b>Боевой клич:</b> призывает копию этого существа.	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	В начале вашего хода атака этого существа удваивается.\n<b>Предсмертный хрип</b>: вы_замешиваете эту карту в_колоду.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	Стоит на (1) меньше\nза каждое ваше существо.\n<b>Боевой клич:</b> призывает\n[x]копию этого_существа.	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	Стоит на (1) меньше\nза каждое ваше существо.\n<b>Предсмертный_хрип</b>: вы_замешиваете эту карту в колоду.	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	<b>Боевой клич:</b> призывает копию этого существа.\n<b>Предсмертный_хрип</b>: вы_замешиваете эту карту в колоду.	
