TAG	TEXT	COMMENT
GAMEPLAY_ADVENTURE_BOSS_HEROIC	ระดับฮีโร่	Shows under heroic boss names in adventures
GAMEPLAY_ADVENTURE_BOSS_NORMAL	ปกติ	Shows under normal boss names in adventures
GAMEPLAY_AI_OPPONENT_NAME	เจ้าของโรงแรม	
GAMEPLAY_CHOOSE_ONE	เลือกหนึ่งอย่าง	will be displayed for card choices e.g. tracking
GAMEPLAY_CHOOSE_ONE_HERO_POWER	เลือกหนึ่งอย่าง	will be displayed for choosing a Hero Power e.g. Sir Finley Mrrgglton
GAMEPLAY_COIN_TOSS_LOST	คุณได้รับการ์ดเพิ่มหนึ่งใบ	
GAMEPLAY_COIN_TOSS_WON	คุณเริ่มก่อน	
GAMEPLAY_COPY_DEATHRATTLE	ก๊อปปี้เสียงสุดท้ายจาก {0}	
GAMEPLAY_DISCONNECT_BODY	เกมจบลงและได้รับการบันทึกแล้ว! โปรดเริ่ม Hearthstone ใหม่เพื่อดำเนินการต่อ 	
GAMEPLAY_DISCONNECT_BODY_RESET	เกมจบลงและได้รับการบันทึกแล้ว! กำลังเชื่อมต่อกับเซิร์ฟเวอร์ Hearthstone อีกครั้ง 	
GAMEPLAY_DISCONNECT_HEADER	ถูกตัดการเชื่อมต่อ 	
GAMEPLAY_EMOTE_LABEL_GREETINGS	ทักทาย	
GAMEPLAY_EMOTE_LABEL_OOPS	ผิดพลาด	
GAMEPLAY_EMOTE_LABEL_SORRY	ขอโทษ	
GAMEPLAY_EMOTE_LABEL_THANKS	ขอบคุณ	
GAMEPLAY_EMOTE_LABEL_THREATEN	ข่มขู่	
GAMEPLAY_EMOTE_LABEL_WELL_PLAYED	เล่นได้ดี	
GAMEPLAY_EMOTE_LABEL_WOW	ว้าว	
GAMEPLAY_EMOTE_SQUELCH	ปิดการโต้ตอบ	
GAMEPLAY_EMOTE_UNSQUELCH	เปิดการโต้ตอบ	
GAMEPLAY_END_OF_GAME_DEFEAT	แพ้!	
GAMEPLAY_END_OF_GAME_VICTORY	ชนะ!	
GAMEPLAY_END_OF_GAME_VICTORY_MAYBE	ชนะ?	
GAMEPLAY_END_TURN	จบเทิร์น	
GAMEPLAY_ENEMY_TURN	เทิร์นฝ่ายตรงข้าม	
GAMEPLAY_ERROR_PLAY_REJECTED	สายไปแล้ว! เทิร์นของคุณจบลงแล้ว	
GAMEPLAY_FATIGUE_HISTORY_TEXT	การจั่วการ์ดจากเด็คเปล่า[b]จะทำให้ฮีโร่ของคุณได้รับ[b]ความเสียหายเพิ่มขึ้นเรื่อยๆ	
GAMEPLAY_FATIGUE_TEXT	การ์ดหมด! ได้รับความเสียหาย {0}_แต้ม	
GAMEPLAY_FATIGUE_TITLE	ความเหนื่อยล้า	
GAMEPLAY_GOLDHERO_WINS	ชนะ! 	
GAMEPLAY_HISTORY_CREATED_BY	สร้างขึ้นโดย \n{0}	0=name of a card
GAMEPLAY_MANA_COUNTER	{0}/{1}	0=unused mana 1=current total mana
GAMEPLAY_MISSING_OPPONENT_NAME	คู่ต่อสู้ของคุณ	
GAMEPLAY_MOBILE_BATTLECRY_CANCELED	คำรามสู้ศึกถูกยกเลิก	
GAMEPLAY_MOBILE_TARGETING_CANCELED	ยกเลิกการเล็งเป้าหมายแล้ว	
GAMEPLAY_MULLIGAN_REPLACE	เปลี่ยน	
GAMEPLAY_MULLIGAN_STARTING_HAND	การ์ดเริ่มเกม	
GAMEPLAY_MULLIGAN_SUBTITLE	เลือกเก็บหรือเปลี่ยนการ์ด	
GAMEPLAY_MULLIGAN_WAITING	ฝ่ายตรงข้ามกำลังเลือกอยู่...	
GAMEPLAY_PlayErrors_REQ_ATTACK_GREATER_THAN_0	ตัวละครที่ไม่มีพลังโจมตีจะโจมตีไม่ได้	
GAMEPLAY_PlayErrors_REQ_ATTACKER_CAN_ATTACK	ตัวละครนั้นโจมตีไม่ได้	
GAMEPLAY_PlayErrors_REQ_ATTACKER_NOT_FROZEN	ตัวละครที่ถูกแช่แข็งไม่สามารถโจมตีได้	
GAMEPLAY_PlayErrors_REQ_CAN_BE_ATTACKED	ไม่สามารถโจมตีตัวละครนี้ได้	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_BATTLECRIES	ไม่ตกเป็นเป้าของคำรามสู้ศึก	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_HERO_POWERS	ไม่ตกเป็นเป้าของพลังฮีโร่	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_OPPONENTS	ไม่สามารถเลือกตัวละครนี้เป็นเป้าหมายได้	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_SPELLS	ไม่ตกเป็นเป้าของเวทมนตร์	
GAMEPLAY_PlayErrors_REQ_CHARGE_TARGET	เลือกตัวละครที่มีบุกทะลวง	
GAMEPLAY_PlayErrors_REQ_DAMAGED_TARGET	เลือกตัวละครที่พลังชีวิตไม่เต็ม	
GAMEPLAY_PlayErrors_REQ_DRAG_TO_PLAY	คุณต้องลากไปที่เป้าหมาย	
GAMEPLAY_PlayErrors_REQ_ENCHANTED_TARGET	เลือกตัวละครที่ได้รับผลพิเศษ	
GAMEPLAY_PlayErrors_REQ_ENEMY_TARGET	เลือกศัตรู	
GAMEPLAY_PlayErrors_REQ_ENEMY_TARGET_NOT_IMMUNE	ตัวละครนั้นอยู่ในสถานะคงกระพัน	
GAMEPLAY_PlayErrors_REQ_ENEMY_WEAPON_EQUIPPED	คู่แข่งของคุณต้องมีอาวุธ	
GAMEPLAY_PlayErrors_REQ_ENOUGH_HEALTH	พลังชีวิตไม่พอ	
GAMEPLAY_PlayErrors_REQ_ENOUGH_MANA	มานาไม่พอ	
GAMEPLAY_PlayErrors_REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY	คุณมีโทเท็มอยู่แล้วอย่างละหนึ่งอัน	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINION_DIED_THIS_GAME	ไม่มีมินเนี่ยนฝ่ายเดียวกันตายในเกมนี้	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINION_DIED_THIS_TURN	ไม่มีมินเนี่ยนฝ่ายเดียวกันตายในเทิร์นนี้	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_TARGET	เลือกตัวละครฝ่ายเดียวกัน	
GAMEPLAY_PlayErrors_REQ_FROZEN_TARGET	เลือกตัวละครที่ถูกแช่แข็ง	
GAMEPLAY_PlayErrors_REQ_HERO_OR_MINION_TARGET	คุณต้องเลือกตัวละครเป็นเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_HERO_TARGET	คุณต้องเลือกฮีโร่เป็นเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_LEGENDARY_TARGET	คุณต้องเลือกมินเนี่ยนระดับตำนานเป็นเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_MINIMUM_ENEMY_MINIONS	ฝ่ายตรงข้ามต้องมีมินเนี่ยนอย่างน้อย {0}_ตัว	
GAMEPLAY_PlayErrors_REQ_MINIMUM_TOTAL_MINIONS	ต้องมีมินเนี่ยนอย่างน้อย {0}_ตัวในสนาม	
GAMEPLAY_PlayErrors_REQ_MINION_CAP	คุณไม่สามารถลงมินเนี่ยนเพิ่มได้อีก	
GAMEPLAY_PlayErrors_REQ_MINION_CAP_IF_TARGET_AVAILABLE	คุณไม่สามารถลงมินเนี่ยนเพิ่มได้อีก	
GAMEPLAY_PlayErrors_REQ_MINION_OR_ENEMY_HERO	เลือกมินเนี่ยนหรือฮีโร่ฝ่ายตรงข้าม	
GAMEPLAY_PlayErrors_REQ_MINION_TARGET	เลือกมินเนี่ยน	
GAMEPLAY_PlayErrors_REQ_MUST_TARGET_TAUNTER	คุณต้องเลือกมินเนี่ยนที่มียั่วยุเป็นเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_NONSELF_TARGET	มินเนี่ยนไม่สามารถเลือกตัวเองเป็นเป้าหมายได้	
GAMEPLAY_PlayErrors_REQ_NONSTEALTH_ENEMY_TARGET	ตัวละครที่ซ่อนตัวอยู่จะไม่ตกเป็นเป้าหมายและไม่ถูกโจมตี	
GAMEPLAY_PlayErrors_REQ_NOT_EXHAUSTED_ACTIVATE	ตัวละครนั้นโจมตีไปแล้ว	
GAMEPLAY_PlayErrors_REQ_NOT_EXHAUSTED_HERO_POWER	สามารถใช้พลังฮีโร่ได้เทิร์นละครั้งเท่านั้น	
GAMEPLAY_PlayErrors_REQ_NOT_MINION_JUST_PLAYED	มินเนี่ยนไม่สามารถโจมตีได้ในเทิร์นแรกที่ลงสนาม	
GAMEPLAY_PlayErrors_REQ_NUM_MINION_SLOTS	ไม่สามารถเล่นการ์ดนี้ได้เพราะคุณมีมินเนี่ยนมากเกินไป	
GAMEPLAY_PlayErrors_REQ_SECRET_CAP	คุณมีกับดักได้สูงสุด {0}_อัน	
GAMEPLAY_PlayErrors_REQ_SUBCARD_IS_PLAYABLE	ไม่สามารถเลือกตัวเลือกทั้งสองได้	
GAMEPLAY_PlayErrors_REQ_TARGET_ATTACKED_THIS_TURN	คุณต้องเลือกตัวละครที่โจมตีไปแล้วเป็นเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_TARGET_FOR_COMBO	คุณไม่สามารถเล่นการ์ดนี้ได้โดยไม่มีเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_TARGET_FOR_NO_COMBO	คุณไม่สามารถเล่นการ์ดนี้ได้โดยไม่มีเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABLE	คุณไม่สามารถเล่นการ์ดนี้ได้โดยไม่มีเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND	คุณไม่สามารถเล่นการ์ดนี้ได้โดยไม่มีเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS	คุณไม่สามารถเล่นการ์ดนี้ได้โดยไม่มีเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_SECRETS	คุณไม่สามารถเล่นการ์ดนั้นได้โดยไม่มีเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_TARGET_MAGNET	มีมินเนี่ยนที่คุณต้องเลือกเป็นเป้าหมาย	
GAMEPLAY_PlayErrors_REQ_TARGET_MAX_ATTACK	เลือกตัวละครที่มีพลังโจมตี {0} หรือน้อยกว่า	
GAMEPLAY_PlayErrors_REQ_TARGET_MIN_ATTACK	เลือกตัวละครที่มีพลังโจมตี {0} หรือมากกว่า	
