TAG	TEXT	COMMENT
GLOBAL_AADC_BUTTON_PRIVACY	ความเป็นส่วนตัว	
GLOBAL_AADC_BUTTON_PRIVACYSETTINGS	การตั้งค่าความเป็นส่วนตัว	
GLOBAL_AADC_CHATSETTINGS_DISABLEDESCRIPTION	การปิดใช้งานการสนทนาจะป้องกันไม่ให้คุณส่งข้อความ[b]และรับข้อความจากเพื่อน	
GLOBAL_AADC_CHATSETTINGS_DISABLEHEADER	ปิดข้อความสนทนา	
GLOBAL_AADC_CHATSETTINGS_ENABLEDESCRIPTION	การเปิดใช้งานการสนทนาจะช่วยให้คุณส่งข้อความและรับ[b]ข้อความจากเพื่อนได้ โปรดระวังอย่าแชร์ข้อมูลส่วนตัว	
GLOBAL_AADC_CHATSETTINGS_ENABLEHEADER	เปิดข้อความสนทนา	
GLOBAL_AADC_CHATSETTINGS_SETTINGSUPDATED	อัพเดตการตั้งค่าการสนทนาแล้ว	
GLOBAL_AADC_CHATSETTINGS_TITLE	การตั้งค่าการสนทนา	
GLOBAL_AADC_CHATSETTINGS_UPDATINGSETTINGS	กำลังอัพเดตการตั้งค่าการสนทนา	
GLOBAL_AADC_CHATWARNING	โปรดระวังอย่าแชร์ข้อมูลส่วนตัวในข้อความ	
GLOBAL_AADC_FRIENDSETTINGS_DISABLEDESCRIPTION	การปิดใช้งานเพื่อนที่อยู่ใกล้จะป้องกันไม่ให้เพื่อนที่อยู่ใกล้กับตำแหน่งที่ตั้ง\nของคุณดูกิจกรรมการเล่นเกมของคุณในรายชื่อเพื่อนของคุณ	
GLOBAL_AADC_FRIENDSETTINGS_DISABLEHEADER	ปิดเพื่อนที่อยู่ใกล้	
GLOBAL_AADC_FRIENDSETTINGS_ENABLEDESCRIPTION	การเปิดใช้งานเพื่อนที่อยู่ใกล้จะอนุญาตให้เพื่อนที่อยู่ใกล้กับตำแหน่งที่ตั้ง\nของคุณดูกิจกรรมการเล่นเกมของคุณในรายชื่อเพื่อนของคุณ	
GLOBAL_AADC_FRIENDSETTINGS_ENABLEHEADER	เปิดเพื่อนที่อยู่ใกล้	
GLOBAL_AADC_FRIENDSETTINGS_SETTINGSUPDATED	อัพเดตเพื่อนที่อยู่ใกล้แล้ว	
GLOBAL_AADC_FRIENDSETTINGS_TITLE	การตั้งค่าเพื่อน	
GLOBAL_AADC_FRIENDSETTINGS_UPDATINGSETTINGS	กำลังอัพเดตเพื่อนที่อยู่ใกล้	
GLOBAL_AADC_LOCATIONSERVICES_DISABLEDESCRIPTION	การปิดใช้งานบริการตำแหน่งที่ตั้งจะจำกัดไม่ให้คุณ[b]จัดและเข้าร่วม Fireside Gathering	
GLOBAL_AADC_LOCATIONSERVICES_DISABLEHEADER	ปิดบริการตำแหน่งที่ตั้ง	
GLOBAL_AADC_LOCATIONSERVICES_ENABLEDESCRIPTION	การเปิดใช้งานบริการตำแหน่งที่ตั้งจะช่วยให้คุณหาเพื่อน[b]ที่อยู่ใกล้เคียงและเข้าร่วม Fireside Gathering ได้	
GLOBAL_AADC_LOCATIONSERVICES_ENABLEHEADER	เปิดใช้บริการตำแหน่งที่ตั้ง	
GLOBAL_AADC_LOCATIONSERVICES_SETTINGSUPDATED	อัพเดตการตั้งค่าตำแหน่งที่ตั้งแล้ว	
GLOBAL_AADC_LOCATIONSERVICES_TITLE	การตั้งค่าตำแหน่งที่ตั้ง	
GLOBAL_AADC_LOCATIONSERVICES_UPDATINGSETTINGS	กำลังอัพเดตการตั้งค่าตำแหน่งที่ตั้ง	
