TAG	TEXT	COMMENT
LOEA16_2_STAFF_TEXT_CHARGE_0	<b>พลังฮีโร่อัตโนมัติ</b>\nฮีโร่ของคุณอยู่ในสถานะ <b>คงกระพัน</b> เหลืออีกสามเทิร์น	
LOEA16_2_STAFF_TEXT_CHARGE_1	<b>พลังฮีโร่อัตโนมัติ</b>\nฮีโร่ของคุณอยู่ในสถานะ <b>คงกระพัน</b> เหลืออีกสองเทิร์น	
LOEA16_2_STAFF_TEXT_CHARGE_2	<b>พลังฮีโร่อัตโนมัติ</b>\nฮีโร่ของคุณอยู่ในสถานะ <b>คงกระพัน</b> เหลืออีกหนึ่งเทิร์น!	
LOEA16_2_STAFF_TEXT_CHARGE_EXPLODED	<b>พลังฮีโร่อัตโนมัติ</b>\nเรียกบอส แต่สูญเสียสถานะ <b>คงกระพัน</b>	
MISSION_DEFAULTCOUNTERNAME	|4(เทิร์น,เทิร์น) ก่อนที่จะหลบหนี	
MISSION_GLOWING_POOL	บ่อน้ำเรืองแสง	
MISSION_NEFARIAN_TITLE	ผู้สังหารเหล่ามินเนี่ยนที่โง่เง่า ไร้ความสามารถ และน่าผิดหวัง	
MISSION_PIT_OF_SPIKES	หลุมพรางหนามแหลม	
MISSION_PRE_TUTORIAL_WANTED	ประกาศจับ	
MISSION_STATUES_EYE	ดวงตาของรูปปั้น	
MISSION_TAKE_THE_SHORTCUT	ใช้ทางลัดหรือไม่	
TB_DECKBUILDING_FIRSTCARDPLAYED	เมื่อคุณเล่นการ์ด สับก๊อปปี้ของการ์ดใบนั้นเข้าไปในเด็คของคุณ	
TB_DECKBUILDING_FIRSTENDTURN	ตอนนี้ให้สับการ์ดในมือของคุณกลับเข้าไปในเด็คแล้วจั่วใหม่	
TB_DECKBUILDING_FIRSTPICKTHREE	เลือกการ์ดใหม่ขึ้นมือคุณ	
TB_DECKBUILDING_STARTOFGAME	สร้างทีมของคุณในระหว่างที่เล่น! โชคดีนะ!	
TB_DECKBUILDING_STARTOFGAME_START	เริ่มได้!	
TB_GIFTEXCHANGE_GIFTSPAWNED	ถ้าสนามฝั่งคุณไม่มีลังไม้ คุณจะได้รับลังไม้หนึ่งใบ	
TB_GIFTEXCHANGE_GIFTSTOLEN	คุณได้รับของขวัญ! มันคืออะไรกันนะ...	
TB_GIFTEXCHANGE_START	สุขสันต์วินเทอร์เวล! รับของขวัญไปเลย!	
TB_PICKYOURFATE_BUILDAROUND_FIRSTFATE	โชคชะตาที่เลือกจะส่งผลต่อผู้เล่นทั้งสองฝ่าย!	
TB_PICKYOURFATE_BUILDAROUND_NEWFATE	อย่าลืมนะ โบนัสนี้มีไว้เพื่อคุณเท่านั้น	
TB_PICKYOURFATE_BUILDAROUND_OPPONENT_FIRSTFATE	โชคชะตาของฝ่ายตรงข้ามจะส่งผลกับคุณเช่นกัน!	
TB_PICKYOURFATE_BUILDAROUND_OPPONENTFATE	อย่าลืมนะ โบนัสนี้มีไว้สำหรับฝ่ายตรงข้ามเท่านั้น	
TB_PICKYOURFATE_RANDOM_FIRSTFATE	โชคชะตาที่เลือกจะส่งผลต่อผู้เล่นทั้งสองฝ่าย!	
TB_PICKYOURFATE_RANDOM_NEWFATE	คุณต้องการโชคชะตาใหม่!	
TB_PICKYOURFATE_RANDOM_OPPONENTFATE	ฝ่ายตรงข้ามต้องการโชคชะตาใหม่!	
