TAG	TEXT	COMMENT
Balinda_Mirror_start	ปกป้องบังเกอร์!	
Balinda_Start	หุบเขาอัลเทอแรค[b]เป็นของพันธมิตร!	
Balinda_Threaten	ไร้อารยะ!	
Balinda_WELL_PlAYED	พร้อมรับภารกิจ[b]ถัดไปรึยัง	
BTA_BOSS_03h_BossStart_01	<_คำราม!_>	
BTA_BOSS_14h2_RustedFelReaver_Taunt	<_เสียงเครื่องจักรโกรธ_>	
BTA_BOSS_21h_Supremus_Death	<_ตาย_>	
BTA_BOSS_21h_Supremus_EmoteResponse	<_เสียงบ่นแบบเกรงๆ_>	
BTA_BOSS_21h_Supremus_Play	<_เสียงขู่คำราม_>	
CarouselGryphon_DALA_Boss_34h_Death	<_พังทลาย_>	
CarouselGryphon_DALA_Boss_34h_Emote_01	<_ดนตรีม้าหมุน_>	
CarouselGryphon_DALA_Boss_34h_Emote_02	<_ดนตรีม้าหมุน_>	
CarouselGryphon_DALA_Boss_34h_Emote_03	<_ดนตรีม้าหมุน_>	
CarouselGryphon_DALA_Boss_34h_Start	<_เสียงเอี๊ยดอ๊าด_>	
CarouselGryphon_DALA_Boss_34h_Taunt	<_เสียงเอี๊ยดอ๊าด_>	
ChromaggusBoss_Death_1	แฮรรรรรร่!	
ChromaggusBoss_EmoteResponse_1	*คำราม*	
ChromaggusBoss_Start_1	แฮ่!	
CowKing_TB_SPT_DPromo_Hero2_Death	มอออ...	
CowKing_TB_SPT_DPromo_Hero2_Play	มอ	
DMF_070_DarkmoonRabbit_Attack	<เสียงโวยวายเล็กๆ\nของกระต่าย>	
DMF_070_DarkmoonRabbit_Death	<ตาย>	
DMF_070_DarkmoonRabbit_Play	<กระต่ายทำเสียง\nหงุดหงิด>	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	<_เสียงร้อง_>	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	<_เสียงร้อง_>	
GILA_BOSS_65h_Gobbles_DefeatPlayer	<เสียงร้อง>	
GILA_BOSS_65h_Gobbles_EmoteResponse	<เสียงร้อง>	
GILA_BOSS_65h_Gobbles_Intro	<เสียงร้อง>	
KAR_114_Male_Human_Attack_01	เริ่มการแสดงได้!	
KAR_114_Male_Human_Death_01	<ตาย>	
KAR_114_Male_Human_Idle_01	คืนนี้ เป็นเรื่องราว[b]ของเวทมนตร์และ[b]สิ่งมหัศจรรย์!	
KAR_114_Male_Human_Idle_02	คืนนี้ เป็นเรื่องราว[b]ของโลกที่สาบสูญ	
KAR_114_Male_Human_Idle_03	คืนนี้ เป็นเรื่องราว[b]ของโศกนาฏกรรม[b]สุดรันทด	
KAR_114_Male_Human_Idle_04	คืนนี้ เป็นเรื่องราว[b]ของการไถ่บาปสุด[b]ประทับใจ!	
LETL_833H_Attack_01	<_เสียงขู่คำราม!_>	
LETL_833H_Death_01	<_ตาย_>	
LETL_833H_Intro_01	<_เสียงคำรามโมโห_>	
LOE_07_MINE_CART_EMOTES	แก๊ง	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	<_คำราม_>	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	<_คลั่ง_>	
LOOTA_BOSS_52h_TreasureVault_Emote	<_ชิ๊ง_>	
NightbaneBoss_Attack_1	<คำรามดุดัน>	
NightbaneBoss_Death_1	<คำรามเจ็บปวด>	
NightbaneBoss_Start_1	<เสียงขู่คำราม>	
OnyxiaBoss_Death_1	แฮรรรรรร่!	
OnyxiaBoss_EmoteResponse_1	*คำราม*	
OnyxiaBoss_Start_1	แฮ่!	
POPUP_FROST_BRAWL	การ์ดหมด! ใครก็ตามที่มีพลังชีวิตมากกว่าเมื่อจบเทิร์นหน้าจะเป็นผู้ชนะ	
POPUP_FROST_BRAWL_ARMOR	เกมท้าประลองนี้ห้ามหลบหลังเกราะ!	
Story_04_Darkportal_Death	<_เสียงถล่ม_>	
Story_04_Darkportal_EmoteResponse	<_เสียงประตูมิติ_>	
TB_HM_VO_DALA_Chu_Male_Pandaren_Concede_01	เจ้านาย[b]ไม่ชอบใจแน่...	
TB_HM_VO_DALA_Chu_Male_Pandaren_Greetings_01	อย่าถือสากันเลย มันเป็นเรื่องธุรกิจ	
TB_HM_VO_DALA_Chu_Male_Pandaren_Oops_01	พลาดเหรอ...	
TB_HM_VO_DALA_Chu_Male_Pandaren_Start_03	อย่ามาขวางทางข้า	
TB_HM_VO_DALA_Chu_Male_Pandaren_Thanks_01	ขอบใจมาก	
TB_HM_VO_DALA_Chu_Male_Pandaren_Threaten_02	ทางออก[b]มีแค่ทางเดียว	
TB_HM_VO_DALA_Chu_Male_Pandaren_Well_Played_02	เจ้าแข็งแกร่งมาก	
TB_HM_VO_DALA_Chu_Male_Pandaren_WOW_01	อึ้งไปเลย	
TB_HM_VO_DALA_George_Male_Human_Concede_01	เจ้าชนะแล้ว เจ้ามารร้าย	
TB_HM_VO_DALA_George_Male_Human_Greetings_01	ฮึ่ม สวัสดี 	
TB_HM_VO_DALA_George_Male_Human_Oops_01	เย้ย!	
TB_HM_VO_DALA_George_Male_Human_Start_01	ข้ามาเพื่อแก้แค้น!	
TB_HM_VO_DALA_George_Male_Human_Thanks_01	ฮึ ขอบใจ	
TB_HM_VO_DALA_George_Male_Human_Threaten_01	ข้าจะแก้แค้น[b]ให้คาร์ล!	
TB_HM_VO_DALA_George_Male_Human_Well_Played_01	อืม เล่นได้ดี	
TB_HM_VO_DALA_George_Male_Human_WOW_01	พระเจ้าช่วย สุดยอดจริงๆ!	
TB_LEAGUE_REVIVAL_Brann_DefeatTaunt	เกือบได้... แล้วเชียว	
TB_LEAGUE_REVIVAL_Brann_Start	คารวะเลย!	
TB_LEAGUE_REVIVAL_Finley_DefeatTaunt	ปัดโธ่!	
TB_LEAGUE_REVIVAL_Reno_DefeatTaunt	คงไม่มีใครเห็นนะ... หวังว่า	
TB_LEAGUE_REVIVAL_Reno_Start	นี่! ดูสิว่าข้า[b]เจออะไร!	
TB_LEAGUE_REVIVAL_Tekahn_DefeatTaunt	อย่าบังอาจ[b]ต่อต้านข้า!	
TB_LEAGUE_REVIVAL_Tekahn_Start	เรียกกองทัพ[b]ของข้ามา!	
TB_LEAGUE_REVIVAL_Teraviss_DefeatTaunt	E.V.I.L. จะตอบแทน[b]ข้าอย่างงาม!	
TB_LEAGUE_REVIVAL_Teraviss_Start	ขอยืมมาใช้[b]หน่อยสิ	
TheMothergloop_LOOTA_BOSS_24h_EmoteResponse	<_เรอ_>	
TrappedRoom_LOOTA_BOSS_48h_EmoteResponse	<_ฉุนเฉียว_>	
troll_crowd_play_reaction_positive_1	<_ฝูงชน\nส่งเสียงเชียร์_>	
troll_crowd_play_reaction_very_positive_1	<_ฝูงชนหัวเราะ_>	
UNG_010_SatedThreshadon_Attack	<_คำรามมม!_>	
UNG_010_SatedThreshadon_Death	<_ตาย_>	
UNG_010_SatedThreshadon_Play	<_เสียงคำราม\nจากน้ำ_>	
VO__Male_Dragon_Death_01	อ๊า!	
VO_AcolyteOfNZoth_Male_Human_Attack_02	พวกนอกรีต[b]ตาขาว!	
VO_AcolyteOfNZoth_Male_Human_Death_01	<ตาย>	
VO_AcolyteOfNZoth_Male_Human_Idle_01	เสียงกระซิบของเทพ[b]โบราณมอบหมายภารกิจให้[b]ข้าที่นี่ และข้าจะทำตามนั้น	
VO_AcolyteOfNZoth_Male_Human_Intro_01	สาวกทั้งหลาย เริ่ม[b]พิธีได้! จักรวรรดิทมิฬ[b]จักผงาดอีกครา	
VO_Ahune_Male_Elemental_Brawl_01	นั่นแหละ! บดขยี้แร็กนารอส!	
VO_Ahune_Male_Elemental_Brawl_02	ตอนนี้ข้าเหนือกว่าแล้ว เจ้าโง่จอมหัวร้อน! 	
VO_Ahune_Male_Elemental_Brawl_03	นี่คือการแก้แค้นของข้า	
VO_Ahune_Male_Elemental_Brawl_04	เอาตำแหน่ง ‘ผู้ที่มีโอกาสถูกนักผจญภัยฆ่ามากที่สุดในอาเซรอธ’ ไปเลย!	
VO_Ahune_Male_Elemental_Brawl_05	เจ้าว่าใคร\nเป็นมดปลวกนะ!?	
VO_Ahune_Male_Elemental_Brawl_07	ศิลาน้ำแข็งละลายแล้ว!	
VO_Ahune_Male_Elemental_Brawl_08	ใครจะกำจัดพวกโง่ได้เยอะสุด!?	
VO_Ahune_Male_Elemental_Brawl_11	ทำคะแนนได้ดีมาก!	
VO_Ahune_Male_Elemental_Brawl_15	เจ้าต้องทำลายแร็กนารอสให้เละกว่านี้!	
VO_Ahune_Male_Elemental_Brawl_16	โฮ่\nเจ้าคงเกลียด\nแร็กนารอสมากสินะ!	
VO_Ahune_Male_Elemental_Brawl_18	แข็งซะ เจ้าโง่!	
VO_Ahune_Male_Elemental_Brawl_20	เก่งมากเลยเพื่อน! เราใกล้ชนะแล้ว!	
VO_Ahune_Male_Elemental_Brawl_25	เราทำได้! ยอดเลย เพื่อนรัก!	
VO_AHUNE_Male_Elemental_HSFireFestival_02	ใช่แล้ว! ข้ากับ\nแร็กนารอสจะบดขยี้\nเจ้าด้วยกัน!	
VO_AHUNE_Male_Elemental_HSFireFestival_04	เทศกาลของเจ้า\nสนุกจังเลย เพื่อนรัก!	
VO_AHUNE_Male_Elemental_HSFireFestival_05	ตลกมาก เพื่อนรัก!	
VO_Aran_Male_Shade_AranCrackle_01	เฮอะ สมัยที่ข้ายังหนุ่มๆ น่ะ ใบนี้สร้างความเสียหาย 6 แต้มทุกครั้ง	
VO_Aran_Male_Shade_AranDeath_02	อีกแล้วเหรอ…	
VO_Aran_Male_Shade_AranEmoteResponse_01	ออกไป! ออกไป!	
VO_Aran_Male_Shade_AranHeroPower_01	พวกอันธพาลต้องโดนไฟเผา!	
VO_Aran_Male_Shade_AranMedivhSkin_01	เมดิฟห์? เปล่า เปล่า…ข้าไม่ได้รบกวน\nพวกแขกเลย	
VO_Aran_Male_Shade_AranOpen_01	ข้าจะสอนให้เจ้ารู้จัก\nความเคารพซะบ้าง!	
VO_Aran_Male_Shade_AranSpell_03	จงกลับสู่ความมืด\nอันหนาวเหน็บซะ!	
VO_Aran_Male_Shade_AranSpell_04	นายท่านคือผู้ยิ่งใหญ่ แต่ข้าก็ทรงพลังเหมือนกัน!	
VO_Aran_Male_Shade_AranTrons_02	ไม่! ไม่! ไม่เอาเสียงนั่น! เสียง 'หวัดดี' ที่ชั่วร้ายนั่น!	
VO_Aran_Male_Shade_AranTurn1_01	ห้ามส่งเสียงดัง\nในหอคอยของข้า!	
VO_Aran_Male_Shade_AranTurn5_01	ข้าไม่ใช่ตัวตลก! ข้าคือนีลัส อาราน!	
VO_AttumenTheHuntsman_Male_Undead_LETL_Attack_01	ขี้ขลาด! ต่ำช้า!	
VO_AttumenTheHuntsman_Male_Undead_LETL_Attack_02	ฮ่า ง่ายชะมัด	
VO_AttumenTheHuntsman_Male_Undead_LETL_Death_01	<ตาย>	
VO_AttumenTheHuntsman_Male_Undead_LETL_Idle_01	พวกอ่อนหัด! ตอนนี้[b]มันสายเกินไปแล้ว	
VO_AttumenTheHuntsman_Male_Undead_LETL_Intro_01	มาเร็ว มิดไนท์ ไล่พวกชั้นต่ำให้[b]กระเจิงไปเลย!	
VO_AV_284_Female_Human_Attack_01	ไร้อารยะ!	
VO_AV_284_Female_Human_Death_01	<_ตาย_>	
VO_Azshara_Female_Naga_Diamond_MirrorStart_01	นี่แหละคือ[b]แสงในหมู่แสง	
VO_Azshara_Female_Naga_Diamond_Start_01	ราชินีเสด็จแล้ว	
VO_Azshara_Female_Naga_Diamond_Threaten_01	แสดงเก่ง[b]เหลือเกิน	
VO_Azshara_Female_Naga_Diamond_WellPlayed_01	เจ้าก็มีดี[b]เหมือนกันนะ	
VO_BabblingBook_Male_Book_LETL_Attack_01	ข้าจะร่ายเวทมนตร์!	
VO_BabblingBook_Male_Book_LETL_Attack_02	ยิ่งร่ายเวท ยิ่งสนุก!	
VO_BabblingBook_Male_Book_LETL_Death_01	<ตาย>	
VO_BabblingBook_Male_Book_LETL_Idle_01	เวทมนตร์เยอะแยะ เวลาน้อยนิด	
VO_BabblingBook_Male_Book_LETL_Idle_02	เจ้า... อยากร่าย[b]เวทมนตร์มั้ย	
VO_BabblingBook_Male_Book_LETL_Idle_03	เจ้า... อยากร่ายความ[b]สามารถมั้ย ข้าอยากร่าย[b]ความสามารถ! เอ้อ มันไม่[b]รื่นหูเหมือนเดิมอะ	
VO_BabblingBook_Male_Book_LETL_Intro_01	โอ้ โอ้ โอ้ เจ้ามา[b]ร่ายเวทมนตร์เหรอ	
VO_BalindaStonehearth_Female_Human_Bark_02	ปกป้องบังเกอร์!	
VO_BalindaStonehearth_Female_Human_Bark_08	บังเกอร์สโตน[b]ฮาร์ทยังยืนหยัด	
VO_Barnes_Male_Human_FinalNazraTurn5_02	ช่วยด้วย! เราไม่มีกล้วยแล้ว! มุคล่าอาละวาดจนห้องอาหารพังหมดแล้ว!	
VO_Barnes_Male_Human_JulianneTurn5_01	จะเรียกว่าปาร์ตี้ได้ยังไง[b]ถ้าไม่มีการแสดง? และจะเรียกว่า[b]เป็นการแสดงได้ยังไงถ้าไม่มีผู้ชม?	
VO_Barnes_Male_Human_JulianneWin_01	องก์แรกจบลงแล้ว! ยังเหลืออีกสององก์!	
VO_Barnes_Male_Human_LETL_C03_T05_Dialogue_01	คืนนี้ เรื่องราวของ[b]โทสะไร้ขอบเขต!	
VO_Barnes_Male_Human_Wing2Intro_02	ยินดีต้อนรับสู่โรงละคร! ข้าคือบาร์นส์ ผู้กำกับเวที  ประตูที่จะไปช่วยเมดิฟห์อยู่ข้างบน แต่ก่อนหน้านั้น เจ้าต้องชมการแสดงของเราให้ได้นะ!	
VO_Barnes_Male_Human_WolfBigMinion_01	คุณยายจ๋า ทำไมมินเนี่ยนของยายถึงได้ตัวโตนักล่ะ!	
VO_Barnes_Male_Human_WolfClaws_01	ไม่ต้องห่วง!  กรงเล็บใหญ่ๆ นั่นเป็นแค่พร็อพเท่านั้น!	
VO_Barnes_Male_Human_WolfTurn5_01	ข้าล่ะชอบให้ผู้ชมมีส่วนร่วมจริงๆ!  วิ่งเร็ว แขกตัวน้อย วิ่ง!	
VO_Barnes_Male_Human_WolfTurn9_01	ฮ่าฮ่า! โชว์อลังการมาก! ดีกว่าออเกอร์ที่เราไล่จับ[b]เมื่อสัปดาห์ที่แล้วอีก!	
VO_Barnes_Male_Human_WolfWin_01	อะฮ้า! ฉากสุดท้ายรอเราอยู่!	
VO_BGS_053_Male_Orc_Play_01	ฮ่า ฮ่า ฮ่า เป้านิ่งชัดๆ!	
VO_BigBadWolf_Male_Beast_LETL_Attack_01	จะได้อัดเจ้า[b]เต็มแรงไงล่ะ	
VO_BigBadWolf_Male_Beast_LETL_Attack_02	มื้อค่ำใกล้[b]พร้อมแล้ว	
VO_BigBadWolf_Male_Beast_LETL_Death_01	<ตาย>	
VO_BigBadWolf_Male_Beast_LETL_Idle_01	ถึงหูข้าจะใหญ่ แต่[b]ข้ามีเวลานิดเดียว	
VO_BigBadWolf_Male_Beast_LETL_Intro_01	นั่นใครน่ะ	
VO_BigBadWolf_Male_Worgen_WolfBigMinion_01	จะได้บดขยี้เจ้าได้ถนัดๆ ไงล่ะ!	
VO_BigBadWolf_Male_Worgen_WolfDeath_01	ถูกล่าเหรอ? ไม่…	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_01	*คำราม*	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_02	*ร้องคราง*	
VO_BigBadWolf_Male_Worgen_WolfEmoteResponse_01	อืมมม...\nอร่อย…	
VO_BigBadWolf_Male_Worgen_WolfOpen_01	วิ่งสิ หนูน้อย วิ่ง!	
VO_BigBadWolf_Male_Worgen_WolfScarletCrusader_01	โอ สาวน้อยชุดแดง จะไปไหนเหรอจ๊ะ	
VO_BigBadWolf_Male_Worgen_WolfTurn1_01	ดูมินเนี่ยนของเจ้าสิ เห็นมั้ยว่ามันตัวหดเหลือนิดเดียว[b]เมื่ออยู่ต่อหน้าข้า?	
VO_BlackKing_Male_ChessPiece_ChessEmoteGreetings_01	พร้อมเสมอ	
VO_BlackKing_Male_ChessPiece_ChessEmoteOops_01	หรือเป็นกับดักกันแน่?	
VO_BlackKing_Male_ChessPiece_ChessEmoteSorry_01	ต้องยอมเสียสละกันบ้าง	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks	ด้วยความยินดี	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks_01	ด้วยความยินดี	
VO_BlackKing_Male_ChessPiece_ChessEmoteThreaten_01	ข้าทำได้ใน 3 ตา	
VO_BlackKing_Male_ChessPiece_ChessEmoteWellPlayed_01	ยังหรอก	
VO_BlackKing_Male_ChessPiece_ChessEmoteWow_01	แน่นอนอยู่แล้ว	
VO_BlackKing_Male_ChessPiece_ChessOpen_01	ข้าไม่ให้เจ้าผ่าน!	
VO_BOM_08_001_Female_Draenei_Xyrella_InGame_Turn_01_01_A	ทาวิช ขอร้อง ชดใช้ความผิดเถอะนะ เราต้องให้เขาช่วย	
VO_BOM_08_001_Male_Dwarf_Tavish_Emote_Picked_01	ข้าชื่อทาวิช สตอร์มไพค์ และห้ามใครมาขวาง[b]ระหว่างข้ากับสมบัติ!	
VO_BOM_08_001_Male_Dwarf_Tavish_InGame_Introduction_01_B	อยากโดนหักคอ[b]รึไง ตาแก่ขนดก!	
VO_BOM_08_001_Male_Dwarf_Tavish_InGame_Turn_03_01_A	ถ้าเจ้าอยากสู้ เดี๋ยวข้า[b]สนองให้ ข้าอยากเตะก้น[b]เจ้ามาตั้งนานแล้ว	
VO_BOM_08_001_Male_Dwarf_Tavish_InGame_Turn_07_01_B	ตอนนี้เรามีปัญหา[b]ใหญ่กว่านั้น	
VO_BOM_08_001_Male_Dwarf_Tavish_InGame_Turn_11_01_A	เลดี้เพรสทอร์ทรยศ[b]ฝ่ายพันธมิตร นางพยายาม[b]ครอบงำนารูอยู่ที่[b]อัลเทอแรคเนี่ยแหละ	
VO_BOM_08_001_Male_Dwarf_Tavish_InGame_Turn_11_01_B	นางอยากใช้นารูเป็น[b]อาวุธ ส่วนชนเผ่าก็อยาก[b]ได้มันมาครอบครอง!	
VO_BOM_08_001_Male_Dwarf_Tavish_UI_AWD_Boss_Reveal_General_01_01_A	เจ้าคงคิดว่าแค่ปกป้องสตอร์มวินด์จากกองทัพปีศาจกับ[b]กวาดล้างแก๊งดีไฟอัสน่าจะพอแล้ว ผิดถนัด โจรสลัดกลุ่ม[b]หนึ่งหนีรอดไปจากเดดไมนส์พร้อมกับเอาผลึกนารูไปด้วย!	
VO_BOM_08_001_Male_Dwarf_Tavish_UI_AWD_Boss_Reveal_General_01_01_C	ทำไมจะไม่รู้ล่ะ เจ้าทึ่มหัวเหม่งเอ๊ย! เขาเป็นญาติข้า นิสัยน่าคบพอๆ กับเมอร์ล็อคแหละ	
VO_BOM_08_001_Male_Dwarf_Vanndar_InGame_BossDeath_01	[REUSE]	
VO_BOM_08_001_Male_Dwarf_Vanndar_InGame_BossIdle_01	พวกฟรอสต์วูล์ฟนี่[b]เหลี่ยมจัด ต้องไม่ปล่อยให้[b]พวกมันได้เปรียบเรา	
VO_BOM_08_001_Male_Dwarf_Vanndar_InGame_BossIdle_02	เลิกนับสมบัติแล้ว[b]มาสู้กันซะที ทาวิช	
