TAG	TEXT	COMMENT
PRESENCE_ADVENTURE_MODE_BOH	กำลังอ่าน Book of Heroes	
PRESENCE_ADVENTURE_MODE_BOM	กำลังอ่าน Book of Mercenaries	
PRESENCE_ADVENTURE_MODE_BOT	กำลังดูห้องแล็บของด็อกเตอร์บูม	
PRESENCE_ADVENTURE_MODE_BRM_CLASS_CHALLENGE	การทดสอบคลาสของแบล็คร็อค	
PRESENCE_ADVENTURE_MODE_BRM_HEROIC	Blackrock Mountain (ระดับฮีโร่)	
PRESENCE_ADVENTURE_MODE_BRM_NORMAL	Blackrock Mountain	
PRESENCE_ADVENTURE_MODE_BTA	กำลังเข้าสู่ Trial by Felfire	
PRESENCE_ADVENTURE_MODE_BTA_HEROIC	กำลังเข้าสู่บททดสอบ Trial by Felfire	
PRESENCE_ADVENTURE_MODE_BTP	กำลังท่องอดีตของอิลลิดัน!	
PRESENCE_ADVENTURE_MODE_DAL	กำลังวางแผนปล้น	
PRESENCE_ADVENTURE_MODE_DRG	กำลังบินขึ้นในดราก้อนไบลท์	
PRESENCE_ADVENTURE_MODE_GIL	กำลังเตรียมตัวออกล่ามอนสเตอร์	
PRESENCE_ADVENTURE_MODE_ICC_NORMAL	กำลังเดินทางเข้าสู่ไอซ์คราวน์	
PRESENCE_ADVENTURE_MODE_KAR_CLASS_CHALLENGE	การทดสอบคลาสของ Karazhan	
PRESENCE_ADVENTURE_MODE_KAR_HEROIC	Karazhan (ระดับฮีโร่)	
PRESENCE_ADVENTURE_MODE_KAR_NORMAL	Karazhan	
PRESENCE_ADVENTURE_MODE_LOE_CLASS_CHALLENGE	การทดสอบคลาสของ League of Explorers	
PRESENCE_ADVENTURE_MODE_LOE_HEROIC	League of Explorers (ระดับฮีโร่)	
PRESENCE_ADVENTURE_MODE_LOE_NORMAL	League of Explorers	
PRESENCE_ADVENTURE_MODE_LOOT	เตรียมอุปกรณ์เพื่อตะลุยดันเจี้ยน	
PRESENCE_ADVENTURE_MODE_NAXX_CLASS_CHALLENGE	การทดสอบคลาสของ Naxxramas	
PRESENCE_ADVENTURE_MODE_NAXX_HEROIC	 Naxxramas (ระดับฮีโร่)	
PRESENCE_ADVENTURE_MODE_NAXX_NORMAL	 Naxxramas	
PRESENCE_ADVENTURE_MODE_RETURNING_PLAYER_CHALLENGE	กำลังเดินทางกลับด้วยความยินดี!	
PRESENCE_ADVENTURE_MODE_TRL	กำลังเตรียมตัวตะลุมบอน...	
PRESENCE_ADVENTURE_MODE_ULD	กำลังวางแผนออกเดินทาง	
PRESENCE_SCENARIO_BOH_FIGHT_01	กำลังโน้มน้าวอาร์คเมจแอนโทไนดัส	
PRESENCE_SCENARIO_BOH_FIGHT_02	กำลังพบปะเจ้าชายเคลธาส	
PRESENCE_SCENARIO_BOH_FIGHT_03	กำลังโต้เถียงกับเจ้าชายอาร์ธัส	
PRESENCE_SCENARIO_BOH_FIGHT_04	กำลังห้ามปรามกรอมแมช เฮลสครีม	
PRESENCE_SCENARIO_BOH_FIGHT_05	กำลังหลอกล่ออาร์คิมอนด์	
PRESENCE_SCENARIO_BOH_FIGHT_06	กำลังปกป้องเธอรามอร์	
PRESENCE_SCENARIO_BOH_FIGHT_07	กำลังกล่าวโทษธรอล	
PRESENCE_SCENARIO_BOH_FIGHT_08	กำลังขับไล่กลุ่มซันรีฟเวอร์	
PRESENCE_SCENARIO_BOH10_FIGHT_01	กำลังเผชิญหน้าเจ้าชาย	
PRESENCE_SCENARIO_BOH10_FIGHT_02	กำลังขโมยจากไทคอนเดรียส	
PRESENCE_SCENARIO_BOH10_FIGHT_03	กำลังบุกสุสานซาร์เกราส	
PRESENCE_SCENARIO_BOH10_FIGHT_04	กำลังทะเลาะกับมัลฟิวเรียน	
PRESENCE_SCENARIO_BOH10_FIGHT_05	กำลังกอบกู้เอาท์แลนด์	
PRESENCE_SCENARIO_BOH10_FIGHT_06	กำลังสบประมาทอานูบาแรค	
PRESENCE_SCENARIO_BOH10_FIGHT_07	กำลังดวลกับอาร์ธัส	
PRESENCE_SCENARIO_BOH10_FIGHT_08	กำลังถูกอะคามาหักหลัง	
PRESENCE_SCENARIO_BOH2_FIGHT_01	กำลังโต้แย้งว่าควรลงมือ	
PRESENCE_SCENARIO_BOH2_FIGHT_02	กำลังโน้มน้าวผู้นำชนเผ่า	
PRESENCE_SCENARIO_BOH2_FIGHT_03	กำลังผูกมิตรกับมิชา	
PRESENCE_SCENARIO_BOH2_FIGHT_04	กำลังกู้เกียรติยศของมอกริน	
PRESENCE_SCENARIO_BOH2_FIGHT_05	กำลังสืบสวนร่วมกับเจน่า	
PRESENCE_SCENARIO_BOH2_FIGHT_06	กำลังช่วยเบน บลัดฮูฟ	
PRESENCE_SCENARIO_BOH2_FIGHT_07	กำลังต้านการรุกรานของเดลิน	
PRESENCE_SCENARIO_BOH2_FIGHT_08	กำลังปกป้องชาวมอคนาธัล	
PRESENCE_SCENARIO_BOH3_FIGHT_01	กำลังพบปะเกรทมาเธอร์	
PRESENCE_SCENARIO_BOH3_FIGHT_02	กำลังโต้เถียงกับเรห์การ์	
PRESENCE_SCENARIO_BOH3_FIGHT_03	กำลังพิชิตนอร์ธเรนด์	
PRESENCE_SCENARIO_BOH3_FIGHT_04	กำลังดับไฟในออร์กริมมาร์	
PRESENCE_SCENARIO_BOH3_FIGHT_05	กำลังดวลมัคโกรา	
PRESENCE_SCENARIO_BOH3_FIGHT_06	กำลังโจมตีเธอรามอร์	
PRESENCE_SCENARIO_BOH3_FIGHT_07	กำลังลั่นระฆังสวรรค์	
PRESENCE_SCENARIO_BOH3_FIGHT_08	กำลังถูกปิดล้อมในออร์กริมมาร์	
PRESENCE_SCENARIO_BOH4_FIGHT_01	กำลังทำให้อาร์คบิชอปฟาโอลประทับใจ	
PRESENCE_SCENARIO_BOH4_FIGHT_02	กำลังป้องกันลอร์เดรอน	
PRESENCE_SCENARIO_BOH4_FIGHT_03	กำลังดวลกับเวร็อค เซาร์แฟง	
PRESENCE_SCENARIO_BOH4_FIGHT_04	กำลังทำลายประตูมิติมืด	
PRESENCE_SCENARIO_BOH4_FIGHT_05	กำลังช่วยชาวบ้านจากเบลดมาสเตอร์	
PRESENCE_SCENARIO_BOH4_FIGHT_06	กำลังเข้าช่วยเหลือฮาร์ทเกลน	
PRESENCE_SCENARIO_BOH4_FIGHT_07	กำลังฝ่าฟันอุปสรรคไปที่สตรัทโฮล์ม	
PRESENCE_SCENARIO_BOH4_FIGHT_08	กำลังเผชิญหน้ากับอาร์ธัส	
PRESENCE_SCENARIO_BOH5_FIGHT_01	กำลังทำให้แวเรี่ยนผิดหวัง	
PRESENCE_SCENARIO_BOH5_FIGHT_02	กำลังหว่านล้อมเจน่า	
PRESENCE_SCENARIO_BOH5_FIGHT_03	กำลังเจรจาสงบศึกกับมอยร่า	
PRESENCE_SCENARIO_BOH5_FIGHT_04	กำลังเรียนรู้จากเวเลน	
PRESENCE_SCENARIO_BOH5_FIGHT_05	กำลังหลบหนีจากเงื้อมมือของนาซกริม	
PRESENCE_SCENARIO_BOH5_FIGHT_06	กำลังแก้ปริศนาของราชาวานร	
PRESENCE_SCENARIO_BOH5_FIGHT_07	กำลังถือค้อนเสียงประสาน	
PRESENCE_SCENARIO_BOH5_FIGHT_08	กำลังต่อสู้เพื่อลอร์เดรอน	
PRESENCE_SCENARIO_BOH6_FIGHT_01	กำลังฝึกฝนสำหรับลานประลอง	
PRESENCE_SCENARIO_BOH6_FIGHT_02	กำลังแสดงฝีมือให้เฮลก้าชม	
PRESENCE_SCENARIO_BOH6_FIGHT_03	กำลังเผชิญหน้ากับมือสังหาร	
PRESENCE_SCENARIO_BOH6_FIGHT_04	กำลังกำลังถูกปีศาจสิงร่าง	
PRESENCE_SCENARIO_BOH6_FIGHT_05	กำลังเจรจาทางการทูต	
PRESENCE_SCENARIO_BOH6_FIGHT_06	กำลังสอบสวนกาโรน่า	
PRESENCE_SCENARIO_BOH6_FIGHT_07	กำลังเผชิญหน้าลัทธิค้อนสนธยา	
PRESENCE_SCENARIO_BOH6_FIGHT_08	กำลังเรียนรู้ความลับของคฤหาสน์เรเวนโฮลท์	
PRESENCE_SCENARIO_BOH7_FIGHT_01	กำลังทำเงินให้แบล็คมัวร์	
PRESENCE_SCENARIO_BOH7_FIGHT_02	กำลังฝึกเป็นชาแมน	
PRESENCE_SCENARIO_BOH7_FIGHT_03	กำลังคุยกับคนแปลกหน้า	
PRESENCE_SCENARIO_BOH7_FIGHT_04	กำลังเผชิญหน้าแมนโนรอธ	
PRESENCE_SCENARIO_BOH7_FIGHT_05	กำลังเอาชนะอาร์คิมอนด์	
PRESENCE_SCENARIO_BOH7_FIGHT_06	กำลังจัดการเดธวิง	
PRESENCE_SCENARIO_BOH7_FIGHT_07	กำลังหยุดยั้งเจน่า	
PRESENCE_SCENARIO_BOH7_FIGHT_08	กำลังถอดถอนแกร์รอช	
PRESENCE_SCENARIO_BOH8_FIGHT_01	กำลังรับคำชี้แนะ	
