TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	*หัวเราะ*	
TUTORIAL01_HOGGER_02	*คำราม*	
TUTORIAL01_HOGGER_04	ฮ่า ฮ่า ฮ่า! แฮร่	
TUTORIAL01_HOGGER_05	ฮิฮิฮิฮ่าฮ่าฮ่า!	
TUTORIAL01_HOGGER_06	ฮิฮิฮิฮุฮุฮุ!	
TUTORIAL01_HOGGER_07	ฮ่า ฮ่าา!	
TUTORIAL01_HOGGER_08	อารู้ววว!!	
TUTORIAL01_JAINA_01	เริ่มกันเลย!	
TUTORIAL01_JAINA_02	ข้าต้องมีมินเนี่ยน[b]มาช่วยสู้ซักหน่อย	
TUTORIAL01_JAINA_03	ตาเจ้าแล้ว โนล	
TUTORIAL01_JAINA_04	เดี๋ยวได้เห็นดีกันแน่!	
TUTORIAL01_JAINA_05	เยี่ยม	
TUTORIAL01_JAINA_06	ฮ่า! มินเนี่ยนอีกใบ กำลังอยากได้อยู่พอดี	
TUTORIAL01_JAINA_07	โดนเข้าบ้างแล้ว เป็นไงล่ะ	
TUTORIAL01_JAINA_09	ฮ่า! เล่นงานมันเลย!	
TUTORIAL01_JAINA_10	พลังโจมตี 5 เหรอ ไม่ใช่เล่นๆ ซะแล้ว!	
TUTORIAL01_JAINA_13	กลับเข้าคุกไปเลย ฮ็อกเกอร์	
TUTORIAL01_JAINA_15	ฮ่า! แค่นั้นทำอะไรมินเนี่ยนของข้าไม่ได้หรอก!	
TUTORIAL01_JAINA_16	ต่อไปจะเป็นตาของแก\nฮ็อกเกอร์!	
TUTORIAL01_JAINA_17	อืมม… ข้าจะโจมตีโนลหรือฮ็อกเกอร์ดี?	
TUTORIAL01_JAINA_18	ข้าจะจัดการ[b]เจ้าโนลยักษ์นี่หรือจะ[b]โจมตีเจ้านายมันก็ได้	
TUTORIAL01_JAINA_19	การ์ดเวทมนตร์! มันใช้ได้แค่ครั้งเดียวเท่านั้น ข้าต้องใช้ให้คุ้มค่า…	
TUTORIAL01_JAINA_20	เอาเถอะ\nอย่างน้อยเทิร์นนี้\nมันก็ไม่ได้ลงการ์ด...	
TUTORIAL01_JAINA_21	สองใบเหรอ? มันเก็บอีกใบ[b]ไว้ใช้ทีหลังสินะ	
TUTORIAL02_JAINA_03	*ถอนหายใจ* อะไรล่ะ?	
TUTORIAL02_JAINA_04	ข้าต้องรอเทิร์นนึง[b]ให้มานาฟื้นกลับมาก่อน	
TUTORIAL02_JAINA_05	ข้าต้องมีมานามากกว่านี้ถึงจะเล่นใบนั้นได้	
TUTORIAL02_JAINA_07	ได้การ์ดเพิ่ม! เยี่ยมมาก!	
TUTORIAL02_JAINA_08	อ้า มานาของข้ากลับมาแล้ว	
TUTORIAL02_MILLHOUSE_01	หา? แต่ข้าอยากเล่นก่อนนี่!	
TUTORIAL02_MILLHOUSE_02	เจน่า... เตรียมรับมือกับมิลเฮาส์ มานาสตอร์มผู้ยิ่งใหญ่ได้เลย!	
TUTORIAL02_MILLHOUSE_03	นั่นมันมินเนี่ยนประเภทไหนกัน เมอร์ล็อคเนี่ยนะ ฮ่าฮ่าฮ่าฮ่าฮ่า!	
TUTORIAL02_MILLHOUSE_04	โอ้! โอ้! การ์ดนี่สุดยอดไปเลย!	
TUTORIAL02_MILLHOUSE_05	รอให้ข้ามีมานามากกว่านี้ก่อนเถอะ!!	
TUTORIAL02_MILLHOUSE_06	เจน่า ข้าหวังว่าเจ้าจะชอบนรกนะ!!	
TUTORIAL02_MILLHOUSE_07	ได้มานาเพิ่มแล้ว! มาแล้วจ้า!	
TUTORIAL02_MILLHOUSE_08	นี่ๆ รู้มั้ยว่าหลังจากนี้ข้าจะเป็นอะไร	
TUTORIAL02_MILLHOUSE_09	ผู้ชนะ! เซ่อจริง!	
TUTORIAL02_MILLHOUSE_10	เย้ยย! ระวังหนวดข้าหน่อยซี่!	
TUTORIAL02_MILLHOUSE_11	เจ้าจะต้องชอบนี่แน่ๆ!	
TUTORIAL02_MILLHOUSE_13	รอให้ข้ามีมานาครบ 10 ก่อนเถอะ!	
TUTORIAL02_MILLHOUSE_15	เร็วหน่อย! ข้าอยากเล่นการ์ดใบนี้ใจจะขาดแล้ว!	
TUTORIAL02_MILLHOUSE_16	เร็วเข้า เร็วเข้า เร็วเข้า เร็วเข้า!	
