TAG	TEXT	COMMENT
GAMEPLAY_AI_OPPONENT_NAME	旅店老板	
GAMEPLAY_BANNER_STARTING_HAND	起始手牌	
GAMEPLAY_BANNER_SUBTITLE	保留或替换卡牌	
GAMEPLAY_BANNER_WAITING	对手还在选择...	
GAMEPLAY_COIN_TOSS_LOST	你可以多抽一张牌	
GAMEPLAY_COIN_TOSS_WON	你获得了先手	
GAMEPLAY_DISCONNECT_BODY	游戏进度已保存！请重新启动后继续游戏。	
GAMEPLAY_DISCONNECT_BODY_RESET	游戏进度已保存！正在重新连接服务器。	
GAMEPLAY_DISCONNECT_HEADER	断开连接	
GAMEPLAY_EMOTE_LABEL_GREETINGS	问候	
GAMEPLAY_EMOTE_LABEL_OOPS	失误	
GAMEPLAY_EMOTE_LABEL_SORRY	抱歉	
GAMEPLAY_EMOTE_LABEL_THANKS	感谢	
GAMEPLAY_EMOTE_LABEL_THREATEN	威胁	
GAMEPLAY_EMOTE_LABEL_WELL_PLAYED	称赞	
GAMEPLAY_EMOTE_SQUELCH	无视	
GAMEPLAY_EMOTE_UNSQUELCH	显示	
GAMEPLAY_END_OF_GAME_DEFEAT	败北	
GAMEPLAY_END_OF_GAME_VICTORY	胜利	
GAMEPLAY_END_TURN	结束回合	
GAMEPLAY_ENEMY_TURN	对手回合	
GAMEPLAY_ERROR_PLAY_REJECTED	太晚了！你的回合已经结束了。	
GAMEPLAY_FATIGUE_HISTORY_TEXT	每当你试图从一个空的牌库中抽牌的时候，你的英雄就会承受越来越高的伤害。	
GAMEPLAY_FATIGUE_TEXT	没有牌了！你受到了{0}点伤害。	
GAMEPLAY_FATIGUE_TITLE	疲劳	
GAMEPLAY_GOLDHERO_WINS	场胜利！	
GAMEPLAY_HISTORY_CREATED_BY	创建者\n{0}	0=name of a card
GAMEPLAY_MANA_COUNTER	{0}/{1}	0=unused mana 1=current total mana
GAMEPLAY_MOBILE_BATTLECRY_CANCELED	战吼效果已取消。	
GAMEPLAY_MULLIGAN_REPLACE	替换	
GAMEPLAY_NEFARIAN_TITLE	傻瓜、废物以及垃圾随从的克星	
GAMEPLAY_NOTIFICATION_MAX_HAND_SIZE	你最多能够保留{0}张手牌	
GAMEPLAY_NOTIFICATION_MAX_MANA	你最多能够拥有{0}个法力水晶	
GAMEPLAY_PlayErrors_REQ_ATTACK_GREATER_THAN_0	没有攻击力的角色无法进行攻击。	
GAMEPLAY_PlayErrors_REQ_ATTACKER_CAN_ATTACK	该角色无法进行攻击	
GAMEPLAY_PlayErrors_REQ_ATTACKER_NOT_FROZEN	被冻结的角色无法进行攻击	
GAMEPLAY_PlayErrors_REQ_CAN_BE_ATTACKED	该角色无法被攻击	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_BATTLECRIES	无法成为战吼效果的目标	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_HERO_POWERS	无法成为英雄技能的目标	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_OPPONENTS	该角色无法成为目标	
GAMEPLAY_PlayErrors_REQ_CAN_BE_TARGETED_BY_SPELLS	无法成为法术的目标	
GAMEPLAY_PlayErrors_REQ_CHARGE_TARGET	选择一个具有冲锋的角色	
GAMEPLAY_PlayErrors_REQ_DAMAGED_TARGET	选择一个受过伤害的角色	
GAMEPLAY_PlayErrors_REQ_DRAG_TO_PLAY	你必须将其拖曳至某个目标	
GAMEPLAY_PlayErrors_REQ_ENCHANTED_TARGET	选择一个受到强化的角色	
GAMEPLAY_PlayErrors_REQ_ENEMY_TARGET	选择一个敌方角色	
GAMEPLAY_PlayErrors_REQ_ENEMY_TARGET_NOT_IMMUNE	该角色具有免疫效果	
GAMEPLAY_PlayErrors_REQ_ENOUGH_MANA	法力值不足	
GAMEPLAY_PlayErrors_REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY	你已经拥有了每一种图腾	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_MINION_DIED_THIS_TURN	没有友方随从在本回合中死亡	
GAMEPLAY_PlayErrors_REQ_FRIENDLY_TARGET	选择一个友方角色	
GAMEPLAY_PlayErrors_REQ_FROZEN_TARGET	选择一个被冻结的角色	
GAMEPLAY_PlayErrors_REQ_HERO_OR_MINION_TARGET	你必须指定一个角色为目标	
GAMEPLAY_PlayErrors_REQ_HERO_TARGET	你必须指定一个英雄为目标	
GAMEPLAY_PlayErrors_REQ_LEGENDARY_TARGET	你必须选择一个传说随从为目标	
GAMEPLAY_PlayErrors_REQ_MINIMUM_ENEMY_MINIONS	对手必须至少拥有{0}个随从	
GAMEPLAY_PlayErrors_REQ_MINIMUM_TOTAL_MINIONS	战场上必须至少有{0}个随从	
GAMEPLAY_PlayErrors_REQ_MINION_CAP	你无法拥有更多的随从	
GAMEPLAY_PlayErrors_REQ_MINION_CAP_IF_TARGET_AVAILABLE	你无法拥有更多的随从	
GAMEPLAY_PlayErrors_REQ_MINION_OR_ENEMY_HERO	选择一个随从或者敌方英雄	
GAMEPLAY_PlayErrors_REQ_MINION_TARGET	选择一个随从	
GAMEPLAY_PlayErrors_REQ_MUST_TARGET_TAUNTER	有一个具有嘲讽的随从挡在你面前！	
GAMEPLAY_PlayErrors_REQ_NONSELF_TARGET	随从无法以其自身为目标	
GAMEPLAY_PlayErrors_REQ_NONSTEALTH_ENEMY_TARGET	具有潜行的角色无法成为目标，无法被攻击	
GAMEPLAY_PlayErrors_REQ_NOT_EXHAUSTED_ACTIVATE	该角色已经进行过攻击了	
GAMEPLAY_PlayErrors_REQ_NOT_EXHAUSTED_HERO_POWER	在每个回合中，英雄技能只能够使用一次	
GAMEPLAY_PlayErrors_REQ_NOT_MINION_JUST_PLAYED	当随从牌被使用后，该随从无法在本回合内进行攻击	
GAMEPLAY_PlayErrors_REQ_NUM_MINION_SLOTS	你的随从太多了，无法使用	
GAMEPLAY_PlayErrors_REQ_SECRET_CAP	你只能够拥有{0}个奥秘	
GAMEPLAY_PlayErrors_REQ_SUBCARD_IS_PLAYABLE	无效的选择	
GAMEPLAY_PlayErrors_REQ_TARGET_ATTACKED_THIS_TURN	你必须指定一个已经进行过攻击的角色作为目标	
GAMEPLAY_PlayErrors_REQ_TARGET_FOR_COMBO	没有目标，无法使用	
GAMEPLAY_PlayErrors_REQ_TARGET_FOR_NO_COMBO	没有目标，无法使用	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABLE	没有目标，无法使用	
GAMEPLAY_PlayErrors_REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND	没有目标，无法使用	
GAMEPLAY_PlayErrors_REQ_TARGET_MAGNET	你必须指定一个随从为目标	
GAMEPLAY_PlayErrors_REQ_TARGET_MAX_ATTACK	选择一个攻击力小于或等于{0}的角色	
GAMEPLAY_PlayErrors_REQ_TARGET_MIN_ATTACK	选择一个攻击力大于或等于{0}的角色	
GAMEPLAY_PlayErrors_REQ_TARGET_TAUNTER	你必须攻击一个具有嘲讽的随从	
GAMEPLAY_PlayErrors_REQ_TARGET_TO_PLAY	没有目标，无法使用	
GAMEPLAY_PlayErrors_REQ_TARGET_WITH_RACE	那个随从属于无效的种族	
GAMEPLAY_PlayErrors_REQ_UNDAMAGED_TARGET	你必须指定一个未受伤害的角色作为目标	
GAMEPLAY_PlayErrors_REQ_UNIQUE_SECRET	你已经拥有该奥秘了	
GAMEPLAY_PlayErrors_REQ_WEAPON_EQUIPPED	你必须拥有一把武器	
GAMEPLAY_PRE_TUTORIAL_WANTED	缉拿	
GAMEPLAY_SECRET_BANNER_TITLE	奥秘	
GAMEPLAY_SECRET_DESC	小心了！这张卡牌的效果在某个特殊情况下便会触发...	
GAMEPLAY_SECRET_NAME	奥秘	
GAMEPLAY_SECRET_NAME_HUNTER	猎人奥秘	
GAMEPLAY_SECRET_NAME_MAGE	法师奥秘	
GAMEPLAY_SECRET_NAME_PALADIN	圣骑士奥秘	
GAMEPLAY_SPECTATOR_DISCONNECT_BODY	你已经断开连接。请重新启动《炉石传说》来继续。你可能要重新启动观众模式。	
GAMEPLAY_SPECTATOR_DISCONNECT_BODY_RESET	你已经断开连接。正在重新连接。你可能要重新启动观众模式。	
GAMEPLAY_TOOLTIP_DECK_DESCRIPTION	你的牌库中有{0}张卡牌。	
GAMEPLAY_TOOLTIP_DECK_HEADLINE	牌库	
GAMEPLAY_TOOLTIP_ENEMYDECK_DESC	你的对手的牌库中有{0}张卡牌。	
GAMEPLAY_TOOLTIP_ENEMYDECK_HEADLINE	对手牌库	
GAMEPLAY_TOOLTIP_ENEMYHAND_DESC	你的对手有{0}张手牌。	0= number of cards in hand.
GAMEPLAY_TOOLTIP_ENEMYHAND_DESC_SINGLE	你的对手有{0}张手牌。	0= number of cards in hand.
GAMEPLAY_TOOLTIP_ENEMYHAND_DESC_TUT	你的对手的手牌。玩家在自己的回合开始时抽一张牌。	
GAMEPLAY_TOOLTIP_ENEMYHAND_HEADLINE	对手手牌	
GAMEPLAY_TOOLTIP_FATIGUE_DECK_DESCRIPTION	你已经没有牌了！从现在起，每当你试图抽牌时，你都会受到伤害。	
GAMEPLAY_TOOLTIP_FATIGUE_DECK_HEADLINE	疲劳作战	
GAMEPLAY_TOOLTIP_FATIGUE_ENEMYDECK_DESCRIPTION	你的对手已经没有牌了！从现在起，每当他试图抽牌时，他都会受到伤害。	
GAMEPLAY_TOOLTIP_FATIGUE_ENEMYDECK_HEADLINE	疲劳作战	
GAMEPLAY_TOOLTIP_MANA_DESCRIPTION	在你的回合开始时，你会获得一个新的水晶，并注满所有空的水晶。	
GAMEPLAY_TOOLTIP_MANA_HEADLINE	法力水晶	
GAMEPLAY_TOOLTIP_MANA_RECALL_DESCRIPTION	在上个回合，你使用了一张具有过载的牌。	
GAMEPLAY_TOOLTIP_MANA_RECALL_HEADLINE	法力水晶被锁	
GAMEPLAY_UNKNOWN_OPPONENT_NAME	未知	
GAMEPLAY_WIN_REWARD_PROGRESS	获胜局数 {0}/{1}	
GAMEPLAY_YOUR_TURN	你的回合	
