TAG	TEXT	COMMENT
GAMEPLAY_EMOTE_EX1_323h_CONCEDE	你赢了…但这个世界已经在劫难逃！！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_FULL_MINIONS	随从太多了！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_GENERIC	我不能\n这么做！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_HAND_FULL	手牌太多了！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_I_ATTACKED	我已经进行过攻击了。	
GAMEPLAY_EMOTE_EX1_323h_ERROR_JUST_PLAYED	它才刚刚\n被召唤出来！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_MINION_ATTACKED	那个东西已经攻击过了。	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_MANA	法力值不足！	
GAMEPLAY_EMOTE_EX1_323h_ERROR_NEED_WEAPON	我的武器\n在哪儿？	
GAMEPLAY_EMOTE_EX1_323h_ERROR_PLAY	我不能\n使用那个。	
GAMEPLAY_EMOTE_EX1_323h_ERROR_STEALTH	它会潜行。	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TARGET	不能这么做。	
GAMEPLAY_EMOTE_EX1_323h_ERROR_TAUNT	有个会嘲讽的随从挡着我了！	
GAMEPLAY_EMOTE_EX1_323h_FIRE_FESTIVAL	让火焰熊熊燃烧吧！	
GAMEPLAY_EMOTE_EX1_323h_GOOD_GAME	精彩的比赛！	
GAMEPLAY_EMOTE_EX1_323h_GREETINGS	面对加拉克苏斯吧，燃烧军团的艾瑞达之王！	
GAMEPLAY_EMOTE_EX1_323h_HALLOWS_END	万圣节，\n见鬼吧！	
GAMEPLAY_EMOTE_EX1_323h_LOW_CARDS	我的套牌里\n剩下的卡牌\n不多了！	
GAMEPLAY_EMOTE_EX1_323h_LUNAR_NEW_YEAR	春节快乐！	
GAMEPLAY_EMOTE_EX1_323h_NO_CARDS	不！我已经\n没有卡牌了！	
GAMEPLAY_EMOTE_EX1_323h_NOBLEGARDEN	复活节快乐！	
GAMEPLAY_EMOTE_EX1_323h_OOPS	失误！	
GAMEPLAY_EMOTE_EX1_323h_PIRATE_DAY	我是加拉克\n苏斯！	
GAMEPLAY_EMOTE_EX1_323h_SORRY	加拉克苏斯…\n很抱歉。	
GAMEPLAY_EMOTE_EX1_323h_THANKS	谢谢。	
GAMEPLAY_EMOTE_EX1_323h_THINK1	嗯...	
GAMEPLAY_EMOTE_EX1_323h_THINK2	我想….	
GAMEPLAY_EMOTE_EX1_323h_THINK3	我应该怎样\n把你摧毁呢…	
GAMEPLAY_EMOTE_EX1_323h_THREATEN	湮灭！！	
GAMEPLAY_EMOTE_EX1_323h_TIMER	快没有\n时间了！	
GAMEPLAY_EMOTE_EX1_323h_WELL_PLAYED	打得不错！	
GAMEPLAY_EMOTE_EX1_323h_WINTERVEIL_GREETINGS	我会在这个\n冬幕节夺去\n你们的灵魂！	
GAMEPLAY_EMOTE_EX1_323h_WOW_04	难以置信！	
GAMEPLAY_EMOTE_HERO_01_CONCEDE	我选择死亡！	
GAMEPLAY_EMOTE_HERO_01_ERROR_FULL_MINIONS	我无法再拥有更多随从了。	
GAMEPLAY_EMOTE_HERO_01_ERROR_GENERIC	我不能\n那么做。	
GAMEPLAY_EMOTE_HERO_01_ERROR_HAND_FULL	我的手牌\n满了！	
GAMEPLAY_EMOTE_HERO_01_ERROR_I_ATTACKED	我已经进行过攻击了。	
GAMEPLAY_EMOTE_HERO_01_ERROR_JUST_PLAYED	那个随从需要一个回合进行\n准备。	
GAMEPLAY_EMOTE_HERO_01_ERROR_MINION_ATTACKED	那个随从已经进行过攻击了。	
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_MANA	我没有足够的法力值。	
GAMEPLAY_EMOTE_HERO_01_ERROR_NEED_WEAPON	我需要\n一把武器。	
GAMEPLAY_EMOTE_HERO_01_ERROR_PLAY	我无法\n使用它。	
GAMEPLAY_EMOTE_HERO_01_ERROR_STEALTH	我无法将具有潜行技能的\n随从作为目标。	
GAMEPLAY_EMOTE_HERO_01_ERROR_TARGET	这不是一个\n有效的目标。	
GAMEPLAY_EMOTE_HERO_01_ERROR_TAUNT	我必须攻击\n那个具有嘲讽技能的随从。	
GAMEPLAY_EMOTE_HERO_01_EVENT_FIRE_FESTIVAL	点燃篝火！	
GAMEPLAY_EMOTE_HERO_01_EVENT_LUNAR_NEW_YEAR	春节快乐。	
GAMEPLAY_EMOTE_HERO_01_GOOD_GAME	精彩的比赛。	
GAMEPLAY_EMOTE_HERO_01_GREETINGS	嗬，你好。	
GAMEPLAY_EMOTE_HERO_01_GREETINGS_RESPONSE	哈哈，你好。	
GAMEPLAY_EMOTE_HERO_01_HALLOWS_END	万圣节快乐。	
GAMEPLAY_EMOTE_HERO_01_LOW_CARDS	我的卡牌就快要用光了！	
GAMEPLAY_EMOTE_HERO_01_MIRROR_START	哈哈！有种\n来啊！	
GAMEPLAY_EMOTE_HERO_01_NO_CARDS	我已经没有卡牌了！	
GAMEPLAY_EMOTE_HERO_01_NOBLEGARDEN	复活节快乐！	
GAMEPLAY_EMOTE_HERO_01_OOPS	那真是个\n失误。	
GAMEPLAY_EMOTE_HERO_01_PIRATE_DAY	耶呀！闹\n翻天！	
GAMEPLAY_EMOTE_HERO_01_SORRY	发生这种事，我很抱歉。	
GAMEPLAY_EMOTE_HERO_01_START	不胜利，\n毋宁死！	
GAMEPLAY_EMOTE_HERO_01_THANKS	哼，谢谢。	
GAMEPLAY_EMOTE_HERO_01_THINK1	嗯...	
GAMEPLAY_EMOTE_HERO_01_THINK2	哼，我想….	
