TAG	TEXT	COMMENT
GLOBAL_ACCOUNT	账号	
GLOBAL_ADDFRIEND_BUTTON	加为好友	
GLOBAL_ADDFRIEND_ERROR_ALREADY_FRIEND	该玩家已经是你的好友了。	
GLOBAL_ADDFRIEND_ERROR_MALFORMED	你必须输入一个邮件地址或者战网昵称。	
GLOBAL_ADDFRIEND_HEADER	添加好友	
GLOBAL_ADDFRIEND_INSTRUCTION	输入战网昵称或邮件地址。	
GLOBAL_ADDFRIEND_SENT_CONFIRMATION	添加好友请求已发送。	
GLOBAL_ADVENTURE_CHOOSE_BUTTON_TEXT	选择	
GLOBAL_ADVENTURE_DESC_HEADER	冒险模式	
GLOBAL_ADVENTURE_TRAY_HEADER	选择一种冒险模式	
GLOBAL_APPROXIMATE_DATETIME	约{0}	0=time string
GLOBAL_APPROXIMATE_DATETIME_RANGE	约{0}-{1}	0=min seconds 1=max seconds string
GLOBAL_ARENA_MEDAL_0	新手钥匙	
GLOBAL_ARENA_MEDAL_1	学徒钥匙	
GLOBAL_ARENA_MEDAL_10	霜脉钥匙	
GLOBAL_ARENA_MEDAL_11	熔火钥匙	
GLOBAL_ARENA_MEDAL_12	光铸钥匙	
GLOBAL_ARENA_MEDAL_2	工匠钥匙	
GLOBAL_ARENA_MEDAL_3	青铜钥匙	
GLOBAL_ARENA_MEDAL_4	白银钥匙	
GLOBAL_ARENA_MEDAL_5	黄金钥匙	
GLOBAL_ARENA_MEDAL_6	白金钥匙	
GLOBAL_ARENA_MEDAL_7	钻石钥匙	
GLOBAL_ARENA_MEDAL_8	勇士钥匙	
GLOBAL_ARENA_MEDAL_9	红玉钥匙	
GLOBAL_ARENA_SEASON_ERROR_NOT_ACTIVE	抱歉，你所指定的竞技模式当前无法使用。请等待几分钟之后再进行尝试。	
GLOBAL_ASSET_DOWNLOAD	下载资料	
GLOBAL_ASSET_DOWNLOAD_ALERT	已禁止在游戏进行时下载资料。	
GLOBAL_ASSET_DOWNLOAD_AWAITING_FETCH	正在检查更新……	
GLOBAL_ASSET_DOWNLOAD_AWAITING_OTHER_DOWNLOAD	等待中	
GLOBAL_ASSET_DOWNLOAD_AWAITING_WIFI	需要WiFi	
GLOBAL_ASSET_DOWNLOAD_BYTE_SYMBOL	B	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_DATA_BODY	用蜂窝数据下载。	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_DATA_HEADER	蜂窝数据	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_ADDITIONAL_BODY	未检测到Wi-Fi网络。是否通过蜂窝数据来下载剩余额外的{0}数据？	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_HEADER	蜂窝数据	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_INITIAL_BODY	未检测到Wi-Fi网络。是否通过蜂窝数据来下载剩余所需的{0}数据？	
GLOBAL_ASSET_DOWNLOAD_COMPLETE	完成	
GLOBAL_ASSET_DOWNLOAD_DETAILS_AUDIO	音频	
GLOBAL_ASSET_DOWNLOAD_DETAILS_HIGHRES	高分辨率纹理	
GLOBAL_ASSET_DOWNLOAD_DISABLED	已关闭	
GLOBAL_ASSET_DOWNLOAD_ENABLE_DOWNLOAD_BODY	允许《炉石传说》下载资料。	
GLOBAL_ASSET_DOWNLOAD_ENABLE_DOWNLOAD_HEADER	开启下载	
GLOBAL_ASSET_DOWNLOAD_ENABLED	已开启	
GLOBAL_ASSET_DOWNLOAD_ERROR_AGENT_IMPEDED	连接速度缓慢	
GLOBAL_ASSET_DOWNLOAD_ERROR_CELLULAR_DISABLED	蜂窝数据已关闭	
GLOBAL_ASSET_DOWNLOAD_ERROR_DOWNLOAD_DISABLED	下载已关闭	
GLOBAL_ASSET_DOWNLOAD_ERROR_OUT_OF_STORAGE	存储空间不足	
GLOBAL_ASSET_DOWNLOAD_GIGABYTE_SYMBOL	GB	
GLOBAL_ASSET_DOWNLOAD_INTENTION_PAUSED	{0} (已暂停)	
