TAG	TEXT	COMMENT
LOEA16_2_STAFF_TEXT_CHARGE_0	<b>被动英雄技能</b>\n你的英雄获得<b>免疫</b>，还有三个回合。	
LOEA16_2_STAFF_TEXT_CHARGE_1	<b>被动英雄技能</b>\n你的英雄获得<b>免疫</b>，还有两个回合。	
LOEA16_2_STAFF_TEXT_CHARGE_2	<b>被动英雄技能</b>\n你的英雄获得<b>免疫</b>，还有一个回合！	
LOEA16_2_STAFF_TEXT_CHARGE_EXPLODED	<b>被动英雄技能</b>\n召唤一个首领，但会失去<b>免疫</b>。	
MISSION_DEFAULTCOUNTERNAME	逃亡回合	
MISSION_GLOWING_POOL	发光的水池	
MISSION_NEFARIAN_TITLE	傻瓜、废物以及垃圾随从的克星	
MISSION_PIT_OF_SPIKES	钉刺陷阱	
MISSION_PRE_TUTORIAL_WANTED	缉拿	
MISSION_STATUES_EYE	雕像之眼	
MISSION_TAKE_THE_SHORTCUT	选择捷径？	
TB_100TH_BANANA_INFO_OPP	你对手的套牌由随机卡牌组成。每当对手的随从死亡时，他就会获得一根香蕉。	
TB_100TH_BANANA_INFO_YOU	你的套牌由随机卡牌组成。每当你的随从死亡时，你就会获得一根香蕉。	
TB_100TH_BANANA_OPP	你的对手使用的是第2场乱斗模式——香蕉大乱斗，该乱斗初次登场时间为2015年6月24日。	
TB_100TH_BANANA_YOU	你使用的是第2场乱斗模式——香蕉大乱斗，该乱斗初次登场时间为2015年6月24日。	
TB_100TH_CLONEBALL_INFO_OPP	你对手的套牌由随机传说卡牌组成，且每张牌有数个复制。	
TB_100TH_CLONEBALL_INFO_YOU	你的套牌由随机传说卡牌组成，且每张牌有数个复制。	
TB_100TH_CLONEBALL_OPP	你的对手使用的是第52场乱斗模式——克隆球大赛，该乱斗初次登场时间为2016年6月8日。	
TB_100TH_CLONEBALL_YOU	你使用的是第52场乱斗模式——克隆球大赛，该乱斗初次登场时间为2016年6月8日。	
TB_100TH_PARTYPORTAL_INFO_OPP	该玩家的套牌由随机传送门卡牌组成。	
TB_100TH_PARTYPORTAL_INFO_YOU	该玩家的套牌由随机传送门卡牌组成。	
TB_100TH_PARTYPORTAL_OPP	你的对手使用的是第64场乱斗模式——派对传送门，该乱斗初次登场时间为2016年8月31日。	
TB_100TH_PARTYPORTAL_YOU	你使用的是第64场乱斗模式——派对传送门，该乱斗初次登场时间为2016年8月31日。	
TB_100TH_PORTALS_INFO_OPP	你对手的套牌除了些许法术牌之外，其他都是不稳定的传送门。	
TB_100TH_PORTALS_INFO_YOU	你的套牌除了些许法术牌之外，其他都是不稳定的传送门。	
TB_100TH_PORTALS_OPP	你的对手使用的是第7场乱斗模式——遍地传送门，该乱斗初次登场时间为2015年7月29日。	
TB_100TH_PORTALS_YOU	你使用的是第7场乱斗模式——遍地传送门，该乱斗初次登场时间为2015年7月29日。	
TB_100TH_RANDEMONIUM_INFO_OPP	你对手的套牌由随机卡牌组成，其法力值消耗每个回合都是随机的。	
TB_100TH_RANDEMONIUM_INFO_YOU	你的套牌由随机卡牌组成，其法力值消耗每个回合都是随机的。	
TB_100TH_RANDOMONIUM_OPP	你的对手使用的是第18场乱斗模式——异乎寻常的法力风暴，该乱斗初次登场时间为2015年10月14日。	
TB_100TH_RANDOMONIUM_YOU	你使用的是第18场乱斗模式——异乎寻常的法力风暴，该乱斗初次登场时间为2015年10月14日。	
TB_100TH_RAVENIDOL_INFO_OPP	你对手的套牌由30张乌鸦神像组成。	
TB_100TH_RAVENIDOL_INFO_YOU	你的套牌由30张乌鸦神像组成。	
TB_100TH_RAVENIDOL_OPP	你的对手使用的是第45场乱斗模式——发现之旅，该乱斗初次登场时间为2016年4月20日。	
TB_100TH_RAVENIDOL_YOU	你使用的是第45场乱斗模式——发现之旅，该乱斗初次登场时间为2016年4月20日。	
TB_100TH_SHIFTER_INFO_OPP	你对手的套牌除了些许法术牌之外，其他都是百变泽鲁斯。	
TB_100TH_SHIFTER_INFO_YOU	你的套牌除了些许法术牌之外，其他都是百变泽鲁斯。	
TB_100TH_SHIFTER_OPP	你的对手使用的是第55场乱斗模式——我变我变我变变变，该乱斗初次登场时间为2016年6月29日。	
TB_100TH_SHIFTER_YOU	你使用的是第55场乱斗模式——我变我变我变变变，该乱斗初次登场时间为2016年6月29日。	
TB_100TH_SPELLBAG_INFO_OPP	你对手的套牌由30张随机法术牌组成，使用法术牌会随机召唤与其法力值消耗相同的一个随从。	
TB_100TH_SPELLBAG_INFO_YOU	你的套牌由30张随机法术牌组成，使用法术牌会随机召唤与其法力值消耗相同的一个随从。	
TB_100TH_SPELLBAG_OPP	你的对手使用的是第76场乱斗模式——瓦莉拉的小秘密，该乱斗初次登场时间为2016年11月23日。	
TB_100TH_SPELLBAG_YOU	你使用的是第76场乱斗模式——瓦莉拉的小秘密，该乱斗初次登场时间为2016年11月23日。	
TB_100TH_YOGG_INFO_OPP	你对手的套牌由随机随从牌组成，使用随从牌会随机施放一个法术。	
TB_100TH_YOGG_INFO_YOU	你的套牌由随机随从牌组成，使用随从牌会随机施放一个法术。	
TB_100TH_YOGG_OPP	你的对手使用的是第57场乱斗模式——古神试镜会，该乱斗初次登场时间为2016年7月13日。	
TB_100TH_YOGG_YOU	你使用的是第57场乱斗模式——古神试镜会，该乱斗初次登场时间为2016年7月13日。	
TB_DECKBUILDING_FIRSTCARDPLAYED	每当你使用一张牌时，复制该牌并洗入你的牌库。	
TB_DECKBUILDING_FIRSTENDTURN	将你的手牌洗回牌库，并重新抽牌。	
TB_DECKBUILDING_FIRSTPICKTHREE	为你的手牌挑选一张新的卡牌。	
TB_DECKBUILDING_STARTOFGAME	组建一副套牌去迎接挑战吧！祝你好运！	
TB_DECKBUILDING_STARTOFGAME_START	开始！	
