TAG	TEXT	COMMENT
ChromaggusBoss_Death_1	*怒吼*	
ChromaggusBoss_EmoteResponse_1	*低吼*	
ChromaggusBoss_Start_1	*怒吼*	
GiantRat_LOOTA_BOSS_18h_DefeatPlayer	<嘎吱嘎吱>	
GiantRat_LOOTA_BOSS_18h_EmoteResponse	<嘎吱嘎吱>	
GILA_BOSS_65h_Gobbles_DefeatPlayer	*吼叫*	
GILA_BOSS_65h_Gobbles_EmoteResponse	*吼叫*	
GILA_BOSS_65h_Gobbles_Intro	*吼叫*	
LOE_07_MINE_CART_EMOTES	哐哐	
LOOTA_BOSS_21h_GnoshTheGreatWorm_EmoteResponse	<咆哮>	
LOOTA_BOSS_47h_Lava_FilledRoom_Emote	<咆哮>	
LOOTA_BOSS_52h_TreasureVault_Emote	<哐当哐当>	
OnyxiaBoss_Death_1	*怒吼*	
OnyxiaBoss_EmoteResponse_1	*低吼*	
OnyxiaBoss_Start_1	*怒吼*	
POPUP_FROST_BRAWL	疲劳作战！下个回合结束时，生命值较高的一方会赢得胜利。	
POPUP_FROST_BRAWL_ARMOR	本次乱斗不准躲在护甲后面！	
TheMothergloop_LOOTA_BOSS_24h_EmoteResponse	<打嗝>	
TrappedRoom_LOOTA_BOSS_48h_EmoteResponse	<摇晃>	
VO_Ahune_Male_Elemental_Brawl_01	是的！碾碎拉格纳罗斯！	
VO_Ahune_Male_Elemental_Brawl_02	现在谁最大，火焰蠢货！？	
VO_Ahune_Male_Elemental_Brawl_03	我要复仇!	
VO_Ahune_Male_Elemental_Brawl_04	现在谁才是“艾泽拉斯的冒险者最想击败的首领”？	
VO_Ahune_Male_Elemental_Brawl_05	现在谁才是\n虫子？！	
VO_Ahune_Male_Elemental_Brawl_07	冰石融化了！	
VO_Ahune_Male_Elemental_Brawl_08	谁消灭的蠢货最多？！	
VO_Ahune_Male_Elemental_Brawl_11	出色的成绩！	
VO_Ahune_Male_Elemental_Brawl_15	你必须更加彻底地摧毁拉格纳\n罗斯！	
VO_Ahune_Male_Elemental_Brawl_16	哇！你真的非常讨厌拉格纳\n罗斯！	
VO_Aran_Male_Shade_AranCrackle_01	哼，放在以前，连环爆裂总能打出6点伤害！	
VO_Aran_Male_Shade_AranDeath_02	不……我不想死！	
VO_Aran_Male_Shade_AranEmoteResponse_01	出去！出去！	
VO_Aran_Male_Shade_AranHeroPower_01	烧死你们这些恶棍！	
VO_Aran_Male_Shade_AranMedivhSkin_01	麦迪文？抱……抱歉，我无意打扰您的客人……	
VO_Aran_Male_Shade_AranOpen_01	让我来教你什么叫礼貌！	
VO_Aran_Male_Shade_AranSpell_03	回到寒冷的黑暗中去吧！	
VO_Aran_Male_Shade_AranSpell_04	我的儿子非常强大……但我也有自己的力量！	
VO_Aran_Male_Shade_AranTrons_02	天呐！你能不能别在那嚷嚷个\n没完？	
VO_Aran_Male_Shade_AranTurn1_01	塔里禁止大声喧哗！	
VO_Aran_Male_Shade_AranTurn5_01	我可不是某个可笑的小丑，我是聂拉斯·埃兰！	
VO_Barnes_Male_Human_FinalNazraTurn5_02	天呐！穆克拉正在大闹储藏室，可我们的香蕉早就吃完了！	
VO_Barnes_Male_Human_JulianneTurn5_01	没有演出还算什么派对？没有观众还算什么演出？	
VO_Barnes_Male_Human_JulianneWin_01	完成了一幕！还有两幕！	
VO_Barnes_Male_Human_Wing2Intro_02	欢迎来到歌剧院！我叫巴内斯，是这里的舞台管理员。拯救麦迪文的传送门就在楼上面，可是你得先看完我们的演出！	
VO_Barnes_Male_Human_WolfBigMinion_01	哦，狼外婆，你的随从真是好\n厉害！	
VO_Barnes_Male_Human_WolfClaws_01	别害怕！这些爪子全是道具！	
VO_Barnes_Male_Human_WolfTurn5_01	我最喜欢观众互动环节了！快跑吧，跑吧！	
VO_Barnes_Male_Human_WolfTurn9_01	哈哈，真是一场华丽的演出！比起上周那个食人魔可强多了！	
VO_Barnes_Male_Human_WolfWin_01	哈哈，还剩下最后一幕！	
VO_BigBadWolf_Male_Worgen_WolfBigMinion_01	可以一口把你吞掉吗！	
VO_BigBadWolf_Male_Worgen_WolfDeath_01	这不可能！不……	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_01	*咆哮*	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_02	*呜咽*	
VO_BigBadWolf_Male_Worgen_WolfEmoteResponse_01	哼……美味\n极了。	
VO_BigBadWolf_Male_Worgen_WolfOpen_01	快跑呀，小姑娘，快跑呀！	
VO_BigBadWolf_Male_Worgen_WolfScarletCrusader_01	嘿小红帽，你想要去哪呀？	
VO_BigBadWolf_Male_Worgen_WolfTurn1_01	快瞧瞧你的随从们，看他们如何在我的面前颤抖！	
VO_BlackKing_Male_ChessPiece_ChessEmoteGreetings_01	随时奉陪。	
VO_BlackKing_Male_ChessPiece_ChessEmoteOops_01	可能是陷阱？	
VO_BlackKing_Male_ChessPiece_ChessEmoteSorry_01	这是必要的牺牲。	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks	随时效劳。	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks_01	随时效劳。	
VO_BlackKing_Male_ChessPiece_ChessEmoteThreaten_01	我看是3手。	
VO_BlackKing_Male_ChessPiece_ChessEmoteWellPlayed_01	还没完呢。	
VO_BlackKing_Male_ChessPiece_ChessEmoteWow_01	那是自然。	
VO_BlackKing_Male_ChessPiece_ChessOpen_01	没人能通过\n这里！	
