TAG	TEXT	COMMENT
PRESENCE_ADVENTURE_MODE_BRM_CLASS_CHALLENGE	黑石山职业挑战	
PRESENCE_ADVENTURE_MODE_BRM_HEROIC	黑石山（英雄难度）	
PRESENCE_ADVENTURE_MODE_BRM_NORMAL	黑石山	
PRESENCE_ADVENTURE_MODE_NAXX_CLASS_CHALLENGE	纳克萨玛斯职业挑战	
PRESENCE_ADVENTURE_MODE_NAXX_HEROIC	纳克萨玛斯（英雄难度）	
PRESENCE_ADVENTURE_MODE_NAXX_NORMAL	纳克萨玛斯	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_DRUID	黑石山德鲁伊职业挑战	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_HUNTER	黑石山猎人职业挑战	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_MAGE	黑石山法师职业挑战	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_PALADIN	黑石山圣骑士职业挑战	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_PRIEST	黑石山牧师职业挑战	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_ROGUE	黑石山潜行者职业挑战	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_SHAMAN	黑石山萨满祭司职业挑战	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_WARLOCK	黑石山术士职业挑战	
PRESENCE_SCENARIO_BRM_CLASS_CHALLENGE_WARRIOR	黑石山战士职业挑战	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_ATRAMEDES	英雄难度艾卓曼德斯	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_BARON_GEDDON	英雄难度迦顿男爵	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_CHROMAGGUS	英雄难度克洛玛古斯	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_DARK_IRON_ARENA	英雄难度黑铁竞技场	feel free to shorten long translations since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_DRAKKISATH	英雄难度达基萨斯	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_GARR	英雄难度加尔	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_GRIM_GUZZLER	英雄难度黑铁酒吧	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_MAJORDOMO	英雄难度炎魔之王拉格纳罗斯	feel free to shorten long translations to 'Heroic Ragnaros' since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_MALORIAK	英雄难度马洛拉克	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_NEFARIAN	英雄难度维克多·奈法里奥斯	feel free to shorten long translations to 'Heroic Nefarius' since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_OMNOTRON	英雄难度全能金刚	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_OMOKK	英雄难度欧莫克	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_RAZORGORE	英雄难度拉佐格尔	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_REND_BLACKHAND	英雄难度雷德·黑手	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_THAURISSAN	英雄难度索瑞森大帝	feel free to shorten long translations to 'Heroic Thaurissan' since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_VAELASTRASZ	英雄难度瓦拉斯塔兹	
PRESENCE_SCENARIO_BRM_HEROIC_SCENARIO_ZOMBIE_NEF	英雄难度奈法利安	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_ATRAMEDES	正在与艾卓曼德斯交战	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_BARON_GEDDON	正在与迦顿男爵交战	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_CHROMAGGUS	正在与克洛玛古斯交战	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_DARK_IRON_ARENA	正在黑铁竞技场中战斗	feel free to shorten long translations since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_DRAKKISATH	正在与达基萨斯交战	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_GARR	正在与加尔交战	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_GRIM_GUZZLER	正在黑铁酒吧中战斗	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_MAJORDOMO	正在与拉格纳罗斯交战	feel free to shorten long translations to 'Battling Ragnaros' since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_MALORIAK	正在与马洛拉克交战	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_NEFARIAN	正在与奈法里奥斯交战	feel free to shorten long translations to 'Battling Nefarius' since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_OMNOTRON	正在与全能金刚交战	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_OMOKK	正在与欧莫克交战	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_RAZORGORE	正在与拉佐格尔交战	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_REND_BLACKHAND	正在与雷德·黑手交战	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_THAURISSAN	正在与索瑞森大帝交战	feel free to shorten long translations to 'Battling Thaurissan' since the UI may squeeze text into a tiny (unreadable) font size when text is too long. this string is shown in the Friends List.
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_VAELASTRASZ	正在与瓦拉斯塔兹交战	
PRESENCE_SCENARIO_BRM_NORMAL_SCENARIO_ZOMBIE_NEF	正在与奈法利安交战	
PRESENCE_SCENARIO_NAXX_CLASS_CHALLENGE_DRUID	纳克萨玛斯德鲁伊职业挑战	
PRESENCE_SCENARIO_NAXX_CLASS_CHALLENGE_HUNTER	纳克萨玛斯猎人职业挑战	
PRESENCE_SCENARIO_NAXX_CLASS_CHALLENGE_MAGE	纳克萨玛斯法师职业挑战	
