TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	*笑声*	
TUTORIAL01_HOGGER_02	*鼻息*	
TUTORIAL01_HOGGER_04	哈哈哈，嗷	
TUTORIAL01_HOGGER_05	呵呵呵呵呵哈哈	
TUTORIAL01_HOGGER_06	呵呵呵呵呵嚯嚯	
TUTORIAL01_HOGGER_07	哈哈哈哈	
TUTORIAL01_HOGGER_08	啊啊啊呃	
TUTORIAL01_JAINA_01	放马过来吧！	
TUTORIAL01_JAINA_02	我需要一些将士来为我作战。	
TUTORIAL01_JAINA_03	轮到你了，豺狼人。	
TUTORIAL01_JAINA_04	你会后悔的！	
TUTORIAL01_JAINA_05	太好了。	
TUTORIAL01_JAINA_06	嗯！又一张随从牌，正是我需要的。	
TUTORIAL01_JAINA_07	你的一举一动都在我掌握之中。	
TUTORIAL01_JAINA_09	哈哈！发起致命一击的时候到了！	
TUTORIAL01_JAINA_10	5点攻击力？真是个大家伙！	
TUTORIAL01_JAINA_13	回到监狱去吧，霍格。	
TUTORIAL01_JAINA_15	哼！这还不足以杀死我的随从！	
TUTORIAL01_JAINA_16	下面就轮到你了，霍格！	
TUTORIAL01_JAINA_17	嗯...我应该攻击豺狼人，还是直接攻击霍格呢？	
TUTORIAL01_JAINA_18	我可以杀了这个豺狼人大块头，或者直取主将。	
TUTORIAL01_JAINA_19	一张法术牌！它只能使用一次，所以我应该好好利用它...	
TUTORIAL01_JAINA_20	哼，至少他这个回合一张牌都没有用...	
TUTORIAL01_JAINA_21	两张牌？他一定是蓄谋已久了。	
TUTORIAL02_JAINA_03	什么？	
TUTORIAL02_JAINA_04	我必须等待一个回合，恢复我的法力值。	
TUTORIAL02_JAINA_05	我需要更多的法力值来使用它。	
TUTORIAL02_JAINA_07	更多手牌！很好！	
TUTORIAL02_JAINA_08	啊，我的法力值恢复了。	
TUTORIAL02_MILLHOUSE_01	啊？我想要先来的！	
TUTORIAL02_MILLHOUSE_02	吉安娜...准备好面对强大的米尔豪斯·法力风暴吧！	
TUTORIAL02_MILLHOUSE_03	那就是你的士兵？一个鱼人？哇哈哈哈哈！	
TUTORIAL02_MILLHOUSE_04	哦！哦！这张牌真厉害！	
TUTORIAL02_MILLHOUSE_05	等等，我需要更多的法力值！	
TUTORIAL02_MILLHOUSE_06	吉安娜，我希望你喜欢这招！！	
TUTORIAL02_MILLHOUSE_07	又来了一点法力值！这就够了！	
TUTORIAL02_MILLHOUSE_08	你知道这样感觉如何吗？	
TUTORIAL02_MILLHOUSE_09	必胜！哈哈！	
TUTORIAL02_MILLHOUSE_10	耶！看看小胡子的厉害！	
TUTORIAL02_MILLHOUSE_11	你会喜欢这个的！	
TUTORIAL02_MILLHOUSE_13	你等着，等到我有10点法力值的时候！	
TUTORIAL02_MILLHOUSE_15	快点儿！我等不及想要使用这张牌了！	
TUTORIAL02_MILLHOUSE_16	快点快点快点快点！	
TUTORIAL02_MILLHOUSE_17	别打我！我还要赢得这场比赛呢！	
TUTORIAL02_MILLHOUSE_19	我的律师会找你谈话的！	
TUTORIAL03_JAINA_01	是穆克拉！趁他孤立无援，消灭他！	
TUTORIAL03_JAINA_05	你就这点本事吗，穆克拉？就靠这些酒桶？	
TUTORIAL03_JAINA_07	杀了那只猩猩，我才能解决穆克拉！	
TUTORIAL03_JAINA_12	你听见什么声音了吗？	
TUTORIAL03_JAINA_13	怎么搞的？	
TUTORIAL03_JAINA_14	为什么这些猴子在朝我扔香蕉？	
TUTORIAL03_JAINA_15	你们这些疯狂的猴子！	
TUTORIAL03_JAINA_16	他太强了！去杀了穆克拉！	
TUTORIAL03_JAINA_17	我需要士兵来嘲讽那只大猩猩！	
TUTORIAL03_JAINA_18	我没有守卫了！	
TUTORIAL03_JAINA_19	那是个大块头...还好它不会嘲讽。	
TUTORIAL03_MUKLA_01	呜哇啊啊啊啊！	
TUTORIAL03_MUKLA_03	吼吼吼...	
TUTORIAL03_MUKLA_04	哦！哦！哦！	
TUTORIAL03_MUKLA_05	哈！哦 哦！	
TUTORIAL03_MUKLA_06	呜啊！哦！哦哦！	
TUTORIAL04_HEMET_01	真是个漂亮的小姑娘，不是吗？	
TUTORIAL04_HEMET_02	恩？没人敢这么和老赫米特说话！	
TUTORIAL04_HEMET_03	哈！我先来！	
TUTORIAL04_HEMET_04	哦，那很好，因为你会需要它的！	
TUTORIAL04_HEMET_06	也许你以前常和杂兵较量。	
TUTORIAL04_HEMET_07	赫米特亲自上阵啦！	
TUTORIAL04_HEMET_08	一只野兽！我要把它变成我的战利品！	
TUTORIAL04_HEMET_09	我要把这野兽的皮扒下来做条新围巾！	
TUTORIAL04_HEMET_10	哈哈，谢谢你为我送来了零食！	
TUTORIAL04_HEMET_11	哈哈，开始打猎了！	
TUTORIAL04_HEMET_12a	这不公平！	
TUTORIAL04_HEMET_12b	啊，真倒霉！	
TUTORIAL04_HEMET_13	也许我应该回去继续写东西。	
TUTORIAL04_HEMET_15	你知道吗？这让我想起了狩猎虎王邦加拉什的旧时光。	
TUTORIAL04_HEMET_16	你读过我写的书《荆棘谷的青山》吗？	
TUTORIAL04_HEMET_17	要是在荆棘谷，这绝不可能发生！	
TUTORIAL04_HEMET_18	你不过是个小黄毛丫头！	
TUTORIAL04_HEMET_19	在我巨大的泥沼野兽面前颤抖吧！	
TUTORIAL04_HEMET_20	射击！	
TUTORIAL04_JAINA_01	注意你的言辞。	
TUTORIAL04_JAINA_02	那我就多一张手牌了。	
TUTORIAL04_JAINA_03	我没有只需要一点法力值就可以使用的卡牌。	
TUTORIAL04_JAINA_04	我有的是应对的手段，矮人大叔。	
TUTORIAL04_JAINA_05	我应该对他的杂兵造成1点伤害，还是直接攻击奈辛瓦里呢？	
TUTORIAL04_JAINA_08	就1点生命值？完美的目标。	
TUTORIAL04_JAINA_09	我得找个办法消灭那个东西。	
TUTORIAL05_ILLIDAN_01	你们这是自寻死路！	All of Illidan's lines are iconic from WoW, please use the same translation if possible.
