TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	<b>扰魔</b>，<b>剧毒</b>，<b>圣盾</b>，<b>嘲讽</b>，<b>吸血</b>，<b>突袭</b>	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	<b>扰魔</b>，<b>剧毒</b>。你的其他随从拥有+1攻击力。	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	<b>扰魔</b>，<b>剧毒</b>\n在你的回合结束时，对你的英雄造成3点伤害。	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	<b>扰魔</b>，<b>剧毒</b>。在你的回合开始时，本随从的攻击力翻倍。	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	<b>扰魔</b>，<b>剧毒</b>。每有一个友方随从，本牌的法力值消耗便减少（1）点。	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	<b>扰魔</b>，<b>剧毒</b>。<b>战吼：</b>召唤一个本随从的复制。	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	<b>扰魔</b>，<b>剧毒</b>。<b>亡语：</b>将本随从洗入你的牌库。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>圣盾</b>，<b>嘲讽</b>，<b>吸血</b>，<b>突袭</b>。你的其他随从拥有+1攻击力。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	<b>圣盾</b>，<b>嘲讽</b>，<b>吸血</b>，<b>突袭</b>。在你的回合结束时，对你的英雄造成3点伤害。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	<b>圣盾</b>，<b>嘲讽</b>，<b>吸血</b>，<b>突袭</b>。在你的回合开始时，本随从的攻击力翻倍。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>圣盾</b>，<b>嘲讽</b>，<b>吸血</b>，<b>突袭</b>。每有一个友方随从，本牌的法力值消耗便减少（1）点。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>圣盾</b>，<b>嘲讽</b>，<b>吸血</b>，<b>突袭</b>。<b>战吼：</b>召唤一个本随从的复制。	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	<b>圣盾</b>，<b>嘲讽</b>，<b>吸血</b>，<b>突袭</b>。<b>亡语：</b>将本随从洗入你的牌库。	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	你的其他随从拥有+1攻击力。在你的回合结束时，对你的英雄造成3点伤害。	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	你的其他随从拥有+1攻击力。在你的回合开始时，本随从的攻击力翻倍。	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	你的其他随从拥有+1攻击力。每有一个友方随从，本牌的法力值消耗便减少（1）点。	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	你的其他随从拥有+1攻击力。<b>战吼：</b>召唤一个本随从的复制。	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	你的其他随从拥有+1攻击力。<b>亡语：</b>将本随从洗入你的牌库。	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	在你的回合结束时，对你的英雄造成3点伤害。在你的回合开始时，本随从的攻击力翻倍。	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	在你的回合结束时，对你的英雄造成3点伤害。每有一个友方随从，本牌的法力值消耗便减少（1）点。	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	在你的回合结束时，对你的英雄造成3点伤害。<b>战吼：</b>召唤一个本随从的复制。	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	在你的回合结束时，对你的英雄造成3点伤害。<b>亡语：</b>将本随从洗入你的牌库。	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	在你的回合开始时，本随从的攻击力翻倍。每有一个友方随从，本牌的法力值消耗便减少（1）点。	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	在你的回合开始时，本随从的攻击力翻倍。<b>战吼：</b>召唤一个本随从的复制。	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	在你的回合开始时，本随从的攻击力翻倍。<b>亡语：</b>将本随从洗入你的牌库。	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	每有一个友方随从，本牌的法力值消耗便减少（1）点。<b>战吼：</b>召唤一个本随从的复制。	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	每有一个友方随从，\n本牌的法力值消耗便减少（1）点。\n<b>亡语：</b>将本随从洗入你的牌库。	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	<b>战吼：</b>召唤一个本随从的复制。<b>亡语：</b>将本随从洗入你的牌库。	
