TAG	TEXT	COMMENT
BATTLEGROUNDS_PROGRESSION_QUEST_TIME_UNTIL_NEXT	還要{0}\n才有新任務	
GLOBAL_AADC_BUTTON_PRIVACY	隱私設定	
GLOBAL_AADC_BUTTON_PRIVACYSETTINGS	隱私設定	
GLOBAL_AADC_CHATSETTINGS_DISABLEDESCRIPTION	關閉聊天訊息後，你將無法和好友發送與接收訊息。	
GLOBAL_AADC_CHATSETTINGS_DISABLEHEADER	你確定要關閉聊天訊息嗎？	
GLOBAL_AADC_CHATSETTINGS_ENABLEDESCRIPTION	開啟聊天訊息後，你將可以和好友發送與接收訊息。請不要隨意分享個人資訊。	
GLOBAL_AADC_CHATSETTINGS_ENABLEHEADER	你確定要開啟聊天訊息嗎？	
GLOBAL_AADC_CHATSETTINGS_SETTINGSUPDATED	聊天設定已更新	
GLOBAL_AADC_CHATSETTINGS_TITLE	聊天設定	
GLOBAL_AADC_CHATSETTINGS_UPDATINGSETTINGS	更新聊天設定	
GLOBAL_AADC_CHATWARNING	請不要在聊天訊息中隨意分享個人資訊。	
GLOBAL_AADC_FRIENDSETTINGS_DISABLEDESCRIPTION	關閉附近的玩家將禁止你附近的玩家查看你好友名單中的遊戲活動狀態。	
GLOBAL_AADC_FRIENDSETTINGS_DISABLEHEADER	你確定要關閉附近的玩家嗎？	
GLOBAL_AADC_FRIENDSETTINGS_ENABLEDESCRIPTION	開啟附近的玩家將允許你附近的玩家查看你好友名單中的遊戲活動狀態。	
GLOBAL_AADC_FRIENDSETTINGS_ENABLEHEADER	你確定要開啟附近的玩家嗎？	
GLOBAL_AADC_FRIENDSETTINGS_SETTINGSUPDATED	附近的玩家已更新	
GLOBAL_AADC_FRIENDSETTINGS_TITLE	好友設定	
GLOBAL_AADC_FRIENDSETTINGS_TURN_OFF_BUTTON	關閉	
GLOBAL_AADC_FRIENDSETTINGS_TURN_ON_BUTTON	開啟	
GLOBAL_AADC_FRIENDSETTINGS_UPDATINGSETTINGS	更新附近的玩家	
GLOBAL_AADC_NEARBY_PLAYER_SETTINGS_TITLE	附近玩家	
GLOBAL_AADC_PARENTALLOCK_DESCRIPTION	改變這個設定需要你的父母或監護人更新你的Battle.net隱私設定。	
GLOBAL_AADC_PRIVACYSETTINGSMENU_PRIVACYRIGHTS	隱私權	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_DEVICE_LOCATIONSETTINGS	啟用定位設定	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_DEVICE_PUSHNOTIFICATIONS	啟用推播通知	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SECTIONHEADER_DEVICE	裝置設定	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SECTIONHEADER_SOCIAL	社交設定	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SOCIAL_CHATMESSAGES	啟用聊天訊息	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SOCIAL_NEARBYFRIENDS	開啟附近的玩家	
GLOBAL_AADC_PRIVACYSETTINGSPOPUP_SOCIAL_SPECIALOFFERS	啟用個人化商店建議	
GLOBAL_AADC_PUSHNOTIFICATIONS_DISABLEDESCRIPTION	關閉推播通知將禁止《爐石戰記》發送通知訊息到你的裝置。	
GLOBAL_AADC_PUSHNOTIFICATIONS_DISABLEHEADER	關閉推播通知	
GLOBAL_AADC_PUSHNOTIFICATIONS_ENABLEDESCRIPTION	啟用推播通知可允許《爐石戰記》發送通知訊息到你的裝置。	
GLOBAL_AADC_PUSHNOTIFICATIONS_ENABLEHEADER	啟用推播通知	
GLOBAL_AADC_PUSHNOTIFICATIONS_SETTINGSUPDATED	通知設定已更新	
GLOBAL_AADC_PUSHNOTIFICATIONS_TITLE	通知設定	
GLOBAL_AADC_PUSHNOTIFICATIONS_UPDATINGSETTINGS	更新通知設定	
GLOBAL_AADC_SHOPSETTINGS_DISABLEDESCRIPTION	關閉個人化商店建議將禁止根據你的遊戲狀況提供商店建議。	
GLOBAL_AADC_SHOPSETTINGS_DISABLEHEADER	關閉個人化商店建議	
GLOBAL_AADC_SHOPSETTINGS_ENABLEDESCRIPTION	啟用個人化商店建議將允許根據你的遊戲狀況提供商店建議。	
GLOBAL_AADC_SHOPSETTINGS_ENABLEHEADER	啟用個人化商店建議	
GLOBAL_AADC_SHOPSETTINGS_SETTINGSUPDATED	商店設定已更新	
GLOBAL_AADC_SHOPSETTINGS_TITLE	商店設定	
GLOBAL_AADC_SHOPSETTINGS_UPDATINGSETTINGS	更新商店設定	
GLOBAL_AADC_UPDATESETTINGSPOPUP_DESCRIPTION	你全部的社交與裝置設定都已啟用，包括聊天訊息、商店，以及個人化商店建議	
GLOBAL_AADC_UPDATESETTINGSPOPUP_TITLE	設定已更新	
GLOBAL_ACCOUNT	帳號	
GLOBAL_ACCOUNT_LINKING_CONFIRM_LINKED	帳號已連結！	
GLOBAL_ACCOUNT_LINKING_CONFIRM_WAITING	處理中…	
GLOBAL_ADDFRIEND_BUTTON	新增好友	
GLOBAL_ADDFRIEND_ERROR_ALREADY_FRIEND	此人已經是你的好友。	
GLOBAL_ADDFRIEND_ERROR_MALFORMED	你必須輸入一個電子郵件信箱或Battle Tag。	
GLOBAL_ADDFRIEND_HEADER	新增<color=#5ecaf0ff>Battle.net</color>好友	
GLOBAL_ADDFRIEND_INSTRUCTION	輸入BattleTag或電子郵件信箱	
GLOBAL_ADDFRIEND_SENT_CONFIRMATION	好友邀請已送出	
GLOBAL_ADVENTURE_CHOOSE_BUTTON_TEXT	選擇	
GLOBAL_ADVENTURE_DESC_HEADER	冒險篇章	
GLOBAL_ADVENTURE_TRAY_HEADER	選擇冒險篇章	
GLOBAL_APPROXIMATE_DATETIME	約{0}	0=time string
GLOBAL_APPROXIMATE_DATETIME_RANGE	約{0} - {1}	0=min seconds 1=max seconds string
GLOBAL_ARENA	競技場	
GLOBAL_ARENA_ERROR_NOT_ENOUGH_CLASSES	抱歉，你必須至少解鎖三個職業才能遊玩競技場	
GLOBAL_ARENA_MEDAL_0	新手鑰匙	
GLOBAL_ARENA_MEDAL_1	學徒鑰匙	
GLOBAL_ARENA_MEDAL_10	霜誕鑰匙	
GLOBAL_ARENA_MEDAL_11	熔火鑰匙	
GLOBAL_ARENA_MEDAL_12	光鑄鑰匙	
GLOBAL_ARENA_MEDAL_2	中級鑰匙	
GLOBAL_ARENA_MEDAL_3	青銅鑰匙	
GLOBAL_ARENA_MEDAL_4	白銀鑰匙	
GLOBAL_ARENA_MEDAL_5	黃金鑰匙	
GLOBAL_ARENA_MEDAL_6	白金鑰匙	
GLOBAL_ARENA_MEDAL_7	鑽石鑰匙	
GLOBAL_ARENA_MEDAL_8	勇士鑰匙	
GLOBAL_ARENA_MEDAL_9	紅寶石鑰匙	
GLOBAL_ARENA_SEASON_ERROR_NOT_ACTIVE	抱歉。你所指定的競技場模式目前無法使用。請稍候幾分鐘再重新嘗試。	
GLOBAL_ASSET_DOWNLOAD	下載資料	
GLOBAL_ASSET_DOWNLOAD_ALERT	對戰時會停止下載資料	
GLOBAL_ASSET_DOWNLOAD_AWAITING_FETCH	正在檢查更新...	
GLOBAL_ASSET_DOWNLOAD_AWAITING_OTHER_DOWNLOAD	等待中	
GLOBAL_ASSET_DOWNLOAD_AWAITING_WIFI	需要WiFi	
GLOBAL_ASSET_DOWNLOAD_BYTE_SYMBOL	B	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_DATA_BODY	使用行動網路下載資料	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_DATA_HEADER	行動數據	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_ADDITIONAL_BODY	沒有Wi-Fi網路。你要啟用行動網路來下載剩餘的{0}額外資料嗎？	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_HEADER	行動數據	
GLOBAL_ASSET_DOWNLOAD_CELLULAR_POPUP_INITIAL_BODY	沒有Wi-Fi網路。你要啟用行動網路來下載剩餘的{0}必要資料嗎？	
GLOBAL_ASSET_DOWNLOAD_COMPLETE	完成	
GLOBAL_ASSET_DOWNLOAD_DETAILS_AUDIO	音訊	
GLOBAL_ASSET_DOWNLOAD_DETAILS_HIGHRES	高解析度材質	
GLOBAL_ASSET_DOWNLOAD_DISABLED	關閉	
GLOBAL_ASSET_DOWNLOAD_ENABLE_DOWNLOAD_BODY	允許《爐石戰記》下載資料。	
GLOBAL_ASSET_DOWNLOAD_ENABLE_DOWNLOAD_HEADER	允許下載	
GLOBAL_ASSET_DOWNLOAD_ENABLED	允許	
GLOBAL_ASSET_DOWNLOAD_ERROR_AGENT_IMPEDED	連線速度遲緩	
GLOBAL_ASSET_DOWNLOAD_ERROR_CELLULAR_DISABLED	行動數據已停用	
GLOBAL_ASSET_DOWNLOAD_ERROR_DOWNLOAD_DISABLED	停止下載	
GLOBAL_ASSET_DOWNLOAD_ERROR_OUT_OF_STORAGE	儲存空間不足	
GLOBAL_ASSET_DOWNLOAD_FIRST_DOWNLOAD_BODY	需要額外資料：{0}\n\n你需要下載額外的《爐石戰記》資料才能進行完整遊戲內容。	
GLOBAL_ASSET_DOWNLOAD_GIGABYTE_SYMBOL	GB	
GLOBAL_ASSET_DOWNLOAD_INTENTION_PAUSED	{0} (已暫停)	
GLOBAL_ASSET_DOWNLOAD_IOS_REQ_POPUP_BODY	有可供下載的資料。你要下載剩餘的{0}資料嗎？	
GLOBAL_ASSET_DOWNLOAD_IOS_REQ_POPUP_HEADER	額外資料	
GLOBAL_ASSET_DOWNLOAD_KILOBYTE_SYMBOL	KB	
GLOBAL_ASSET_DOWNLOAD_MEGABYTE_SYMBOL	MB	
GLOBAL_ASSET_DOWNLOAD_PAUSED	已暫停	
GLOBAL_ASSET_DOWNLOAD_SETTINGS	設定	
GLOBAL_ASSET_DOWNLOAD_STATUS	剩餘 {0} @ {1}/秒	
GLOBAL_ASSET_DOWNLOAD_STATUS_DECIMAL_FORMAT	{0}.{1} {2}	
GLOBAL_ASSET_DOWNLOAD_STATUS_SHORT	{0} @ {1}/秒	
GLOBAL_ASSET_INTENTION_DONE	完成	
GLOBAL_ASSET_INTENTION_DOWNLOADING_EXPANSION_MUSIC	額外音效(2/3)	
GLOBAL_ASSET_INTENTION_DOWNLOADING_FONTS	字型	
GLOBAL_ASSET_INTENTION_DOWNLOADING_HERO_MUSIC	英雄音樂	
GLOBAL_ASSET_INTENTION_DOWNLOADING_HIGH_RES_PORTRAITS	高解析度卡牌圖	
GLOBAL_ASSET_INTENTION_DOWNLOADING_LEGEND_STINGERS	額外音效(1/3)	
GLOBAL_ASSET_INTENTION_DOWNLOADING_MINION_PLAY_SOUNDS	手下的音效	
GLOBAL_ASSET_INTENTION_DOWNLOADING_MISSION_SOUNDS	單人冒險模式音效	
GLOBAL_ASSET_INTENTION_DOWNLOADING_OTHER_MINION_SOUNDS	額外音效(3/3)	
GLOBAL_ASSET_INTENTION_DOWNLOADING_PREMIUM_ANIMATIONS	金卡動畫效果	
GLOBAL_ASSET_INTENTION_DOWNLOADING_SPELL_SOUNDS	法術音效	
GLOBAL_ASSET_INTENTION_UNINITIALIZED	開始	
GLOBAL_ATTACK	攻擊力	
GLOBAL_BACK	返回	
GLOBAL_BASIC_DECK_NAME	{0}	0=class name
GLOBAL_BATTLEGROUNDS	英雄戰場	
GLOBAL_BETA_REIMBURSEMENT_DETAILS	這些金幣是從你過去的消費總金額返還的。謝謝你！	
GLOBAL_BETA_REIMBURSEMENT_HEADLINE	帳號清空返還	
GLOBAL_BRAWLISEUM	亂鬥場	
GLOBAL_BUTTON_AWESOME	太棒了!!	
GLOBAL_BUTTON_BUY	購買	
GLOBAL_BUTTON_CLOSE	關閉	
GLOBAL_BUTTON_CONVERT	兌換	
GLOBAL_BUTTON_DOWNLOAD	立刻下載	
GLOBAL_BUTTON_GO	開始	
GLOBAL_BUTTON_GOT_IT	知道了！	
GLOBAL_BUTTON_INFO_LETTER	i	
GLOBAL_BUTTON_LATER	稍後再說	
GLOBAL_BUTTON_MORE_INFO	更多資訊	
GLOBAL_BUTTON_NEXT	繼續	
GLOBAL_BUTTON_NO	不要	
GLOBAL_BUTTON_NOT_NOW	現在不要	
GLOBAL_BUTTON_OK	確定	
GLOBAL_BUTTON_OR	或	
GLOBAL_BUTTON_OWNED	已擁有	
GLOBAL_BUTTON_SUBMIT	確定	
GLOBAL_BUTTON_YES	確定	
GLOBAL_CANCEL	取消	
