TAG	TEXT	COMMENT
BOTA_PUZZLE_CONGRATULATIONS	做得好！	
BOTA_PUZZLE_END_TURN_REMINDER	要是不成功就再試一次吧。	
BOTA_PUZZLE_LOADING	載入下一道難題…	
BOTA_PUZZLE_PROGRESS	難題 {0}/{1}	
BOTA_PUZZLE_RESETTING	重置研究難題…	
DALA_MISSION_CHAPTER_SUBTEXT_01	達拉然銀行	
DALA_MISSION_CHAPTER_SUBTEXT_01_HEROIC	達拉然銀行(英雄難度)	
DALA_MISSION_CHAPTER_SUBTEXT_02	紫羅蘭堡	
DALA_MISSION_CHAPTER_SUBTEXT_02_HEROIC	紫羅蘭堡(英雄難度)	
DALA_MISSION_CHAPTER_SUBTEXT_03	達拉然貿易區	
DALA_MISSION_CHAPTER_SUBTEXT_03_HEROIC	達拉然貿易區(英雄難度)	
DALA_MISSION_CHAPTER_SUBTEXT_04	城底區	
DALA_MISSION_CHAPTER_SUBTEXT_04_HEROIC	城底區(英雄難度)	
DALA_MISSION_CHAPTER_SUBTEXT_05	祈倫托城塞	
DALA_MISSION_CHAPTER_SUBTEXT_05_HEROIC	祈倫托城塞(英雄難度)	
DALA_TAVERN_POPUP	調整你這次挑戰的冒險套牌：\n新增或移除手下，以及其他功能！	
DALA_TAVERN_TURN_START	友善事件	
FB_BUILDABRAWL_001	召喚師大對決的力量！	
FB_BUILDABRAWL_002	拉格納羅斯的化裝舞會！	
FB_BUILDABRAWL_003	尤格薩倫的力量！	
FB_BUILDABRAWL_004	衝鋒陷陣的力量！	
FB_BUILDABRAWL_005	混沌召喚師大對決	
FB_BUILDABRAWL_006	混沌化裝舞會	
FB_BUILDABRAWL_007	混沌尤格薩倫的僕從試鏡會	
FB_BUILDABRAWL_008	混沌衝鋒陷陣	
FB_BUILDABRAWL_009	召喚師大對決之戰	
FB_BUILDABRAWL_010	化裝舞會之戰	
FB_BUILDABRAWL_011	尤格薩倫的僕從試鏡會之戰	
FB_BUILDABRAWL_012	衝鋒陷陣之戰	
FB_BUILDABRAWL_013	血之召喚師大對決	
FB_BUILDABRAWL_014	血之化裝舞會	
FB_BUILDABRAWL_015	血之尤格薩倫	
FB_BUILDABRAWL_016	血之衝鋒陷陣	
FB_BUILDABRAWL_INTRO	目前的亂鬥是：	
FB_BUILDABRAWL_NOTSTARTED	爐邊大亂鬥還沒有開始，請通知你的旅店老闆編組亂鬥！	
