TAG	TEXT	COMMENT
ChromaggusBoss_Death_1	嗚啊啊啊！	
ChromaggusBoss_EmoteResponse_1	*低吼*	
ChromaggusBoss_Start_1	大吼！	
LOE_07_MINE_CART_EMOTES	*匡噹*	
OnyxiaBoss_Death_1	嗚啊啊啊！	
OnyxiaBoss_EmoteResponse_1	*低吼*	
OnyxiaBoss_Start_1	大吼！	
VO_Aran_Male_Shade_AranCrackle_01	哼，我以前用轟雷的時候，每次都是6點傷害。	
VO_Aran_Male_Shade_AranDeath_02	不要！不要…！	
VO_Aran_Male_Shade_AranEmoteResponse_01	出去！出去！	
VO_Aran_Male_Shade_AranHeroPower_01	燒吧，你們這些無賴！	
VO_Aran_Male_Shade_AranMedivhSkin_01	麥迪文？沒有，沒有…我沒有打擾客人…	
VO_Aran_Male_Shade_AranOpen_01	我來教你什麼叫做禮貌！	
VO_Aran_Male_Shade_AranSpell_03	滾回冰冷的黑暗！	
VO_Aran_Male_Shade_AranSpell_04	主人是很強大…但我也不是好惹的！	
VO_Aran_Male_Shade_AranTrons_02	不要！不要！可怕的噪音！可怕的「哈囉」！	
VO_Aran_Male_Shade_AranTurn1_01	不准在我的塔裡大聲放音樂！	
VO_Aran_Male_Shade_AranTurn5_01	我可不是什麼小丑！我是聶拉斯·埃蘭！	
VO_Barnes_Male_Human_FinalNazraTurn5_02	救命啊！我們沒香蕉了！穆克拉沒香蕉吃在發脾氣了！	
VO_Barnes_Male_Human_JulianneTurn5_01	沒有觀眾，怎麼叫戲劇？沒有戲劇，怎麼叫派對？	
VO_Barnes_Male_Human_JulianneWin_01	這一幕結束了！還有兩幕！	
VO_Barnes_Male_Human_Wing2Intro_02	歡迎來到劇院！我是舞台經理巴奈斯。要救麥迪文的話，傳送門就在樓上，但是！你一定要留下來看我們的表演！	
VO_Barnes_Male_Human_WolfBigMinion_01	喔，外婆，你的手下真大隻！	
VO_Barnes_Male_Human_WolfClaws_01	別擔心！大爪子只是裝飾！	
VO_Barnes_Male_Human_WolfTurn5_01	我最喜歡觀眾參與的橋段了！快逃啊，客人！快逃！	
VO_Barnes_Male_Human_WolfTurn9_01	哈哈！真是精采的表演！甚至比上禮拜的巨魔追殺令還好看！	
VO_Barnes_Male_Human_WolfWin_01	啊！大結局要來了！	
VO_BigBadWolf_Male_Worgen_WolfBigMinion_01	這樣才打得死你！	
VO_BigBadWolf_Male_Worgen_WolfDeath_01	我被抓到了？不…	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_01	*吼叫*	
VO_BigBadWolf_Male_Worgen_WolfDireWolfAlpha_02	*吼叫*	
VO_BigBadWolf_Male_Worgen_WolfEmoteResponse_01	嗯...好吃…	
VO_BigBadWolf_Male_Worgen_WolfOpen_01	快逃啊，小女孩！快逃！	
VO_BigBadWolf_Male_Worgen_WolfScarletCrusader_01	噢，血色十字軍，你的小紅帽呢？ 	
VO_BigBadWolf_Male_Worgen_WolfTurn1_01	看看你的手下，在我面前畏畏縮縮的樣子。	
VO_BlackKing_Male_ChessPiece_ChessEmoteGreetings_01	隨時奉陪。	
VO_BlackKing_Male_ChessPiece_ChessEmoteOops_01	…真的嗎？	
VO_BlackKing_Male_ChessPiece_ChessEmoteSorry_01	這是必要的犧牲。	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks	不客氣。	
VO_BlackKing_Male_ChessPiece_ChessEmoteThanks_01	不客氣。	
VO_BlackKing_Male_ChessPiece_ChessEmoteThreaten_01	我只要再3手。	
VO_BlackKing_Male_ChessPiece_ChessEmoteWellPlayed_01	還沒呢。	
VO_BlackKing_Male_ChessPiece_ChessEmoteWow_01	那當然。	
VO_BlackKing_Male_ChessPiece_ChessOpen_01	誰都不准過！	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_02	魔像越多越好！	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_03	嘻嘻嘻！上啊，我的大軍！	
VO_BOSS_AYA_Female_Pandaren_BC_0_Jade_Golem_04	再來！再來！	
VO_BOSS_AYA_Female_Pandaren_BC_2_1st_Turn_Start_01	哼，加基森是我的才對！	
VO_BOSS_AYA_Female_Pandaren_BC_2_2nd_Turn_Start_01	加基森是玉蓮幫的，玉蓮幫是我的！	
VO_BOSS_AYA_Female_Pandaren_BC_2_Arms_Dealing1_01	又是武器，你不膩我都膩了！	
VO_BOSS_AYA_Female_Pandaren_BC_2_Fill1_01	喔～你一定會愛死這個…	
VO_BOSS_AYA_Female_Pandaren_BC_2_Fill2_01	才不要咧，我喜歡這裡，我要留下來！	
VO_BOSS_AYA_Female_Pandaren_BC_2_Goons_Win_01	不行不行不行！這樣不行！	
VO_BOSS_AYA_Female_Pandaren_BC_2_Goons_Winning_02	或許你應該閉嘴！	
VO_BOSS_AYA_Female_Pandaren_BC_2_Jade_Win_01	玉蓮幫又贏啦！我就是強！	
VO_BOSS_AYA_Female_Pandaren_BC_2_Lotus_Winning_01	嘻嘻，再來玩嘛，再來玩嘛！	
VO_BOSS_AYA_Female_Pandaren_BC_3_1st_Turn_Start_01	加基森真的太棒了！我想要！	
VO_BOSS_AYA_Female_Pandaren_BC_3_1st_Turn_Start_02	嘻嘻嘻…沒問題…	
VO_BOSS_AYA_Female_Pandaren_BC_3_2nd_Turn_Start_01	天啊，你們黑謀會的人有夠無聊…	
VO_BOSS_AYA_Female_Pandaren_BC_3_Fill1_01	嘿，卡卡，今天天氣不錯喔？	
VO_BOSS_AYA_Female_Pandaren_BC_3_Fill2_01	喔，真是的。卡卡，放輕鬆，找點樂子嘛。	
VO_BOSS_AYA_Female_Pandaren_BC_3_Jade_Golem3_01	嘻嘻嘻！	
VO_BOSS_AYA_Female_Pandaren_BC_3_Kabal_Winning_01	一定是因為你太無聊了。	
VO_BOSS_AYA_Female_Pandaren_BC_3_Kabal_Wins_01	不可能！不可能不可能不可能不可能！	
