TAG	TEXT	COMMENT
PRESENCE_STATUS_ARENA_FORGE	打造競技場套牌	
PRESENCE_STATUS_ARENA_GAME	在競技場廝殺	
PRESENCE_STATUS_ARENA_IDLE	在競技場閒晃	
PRESENCE_STATUS_ARENA_PURCHASE	在考慮是否進入競技場	
PRESENCE_STATUS_ARENA_QUEUE	尋找競技場對手	
PRESENCE_STATUS_ARENA_REWARD	領取競技場獎勵	
PRESENCE_STATUS_COLLECTION	正在瀏覽牌庫	
PRESENCE_STATUS_CRAFTING	正在合成卡片	
PRESENCE_STATUS_DECKEDITOR	正在建構套牌	
PRESENCE_STATUS_FRIENDLY_DECKPICKER	準備與好友對戰	
PRESENCE_STATUS_FRIENDLY_GAME	與好友對戰	
PRESENCE_STATUS_HUB	在主選單閒晃	
PRESENCE_STATUS_LOGIN	正在啟動遊戲	
PRESENCE_STATUS_PACKOPENING	正在打開卡牌包!!!!	
PRESENCE_STATUS_PLAY_DECKPICKER	前往對戰模式	
PRESENCE_STATUS_PLAY_GAME	在對戰模式中戰鬥!	
PRESENCE_STATUS_PLAY_QUEUE	正在尋找對手	
PRESENCE_STATUS_PRACTICE_DECKPICKER	前往練習模式	
PRESENCE_STATUS_PRACTICE_GAME	與旅店老闆練習	
PRESENCE_STATUS_QUESTLOG	閱讀任務日誌	
PRESENCE_STATUS_STORE	瀏覽商店	
PRESENCE_STATUS_TUTORIAL_GAME	正在嘗試擊敗{0}	0 = PRESENCE_TUTORIAL_*
PRESENCE_STATUS_TUTORIAL_PREGAME	第一次啟動遊戲	
PRESENCE_STATUS_WELCOMEQUESTS	正在承接新的任務!	
PRESENCE_TUTORIAL_CHO	博學行者阿洲	
PRESENCE_TUTORIAL_HEMET	赫米特·奈辛瓦里	
PRESENCE_TUTORIAL_HOGGER	霍格	
PRESENCE_TUTORIAL_ILLIDAN	伊利丹·怒風	
PRESENCE_TUTORIAL_MILLHOUSE	米歐浩斯·曼納斯頓	
PRESENCE_TUTORIAL_MUKLA	穆克拉	
