TAG	TEXT	COMMENT
TUTORIAL_ARCANE_INTELLECT_DESCRIPTION	你可以有10張手牌。	
TUTORIAL_ARCANE_INTELLECT_HEADLINE	手牌數量	
TUTORIAL_MOBILE_COMPLETE_CONGRATS	你擊敗了伊利丹，創建免費的帳號在線上挑戰新的對手吧！	
TUTORIAL_MOBILE_CREATE_ACCOUNT	創建帳號	
TUTORIAL_NO_ENDTURN	等等！你還能出更多牌！	
TUTORIAL_NO_ENDTURN_ATK	等等！你還可以進行攻擊！	
TUTORIAL_NO_ENDTURN_HP	等等！使用你的英雄能力。	
TUTORIAL_PROGRESS_LESSON_TITLE	旅程的開端	
TUTORIAL_PROGRESS_SAVED	進度已儲存	
TUTORIAL_PROGRESS_TITLE	任務進度	
TUTORIAL_RAID_LEADER_DESCRIPTION	這個手下有一種能力，會持續到他死亡為止。	
TUTORIAL_RAID_LEADER_HEADLINE	能力	
TUTORIAL_TOOLTIP_DECK_DESCRIPTION	每個回合你都會從自己的套牌隨機抽出一張卡牌。	
TUTORIAL_TOOLTIP_ENEMYDECK_DESC	你的對手每回合會抽一張卡牌。	
TUTORIAL_TOOLTIP_HISTORY_DESC	這是賽局過程的記錄。	
TUTORIAL_TOOLTIP_HISTORY_HEADLINE	歷史記錄	
TUTORIAL01_HELP_01	當你的生命值歸零，你就輸了。	
TUTORIAL01_HELP_02	這張卡牌是上回合施放的。	
TUTORIAL01_HELP_03	痛扁這隻豺狼人！	
TUTORIAL01_HELP_04	手下必須等一個回合才能攻擊。	
TUTORIAL01_HELP_05	攻擊霍格！	
TUTORIAL01_HELP_06	對霍格竭盡所能地攻擊！	
TUTORIAL01_HELP_07	把這個留著對付敵人！	
TUTORIAL01_HELP_08	別理會這弱小的豺狼人，解決掉霍格。	
TUTORIAL01_HELP_09	當霍格的生命值歸零，你就贏了。	
TUTORIAL01_HELP_10	使用你的手下進行攻擊！	
TUTORIAL01_HELP_11	點擊以進行攻擊。	
TUTORIAL01_HELP_12	能造成的傷害。	
TUTORIAL01_HELP_13	能承受的傷害。	
TUTORIAL01_HELP_14	擊敗霍格！	
TUTORIAL01_HELP_15	叫出手下並使用他們來攻擊霍格。\n\n造成足夠的傷害，你就能獲勝！	
TUTORIAL01_HELP_16	開始！	
TUTORIAL01_HELP_17	點擊他！	
TUTORIAL01_HELP_17_TOUCH	輕點他！	
TUTORIAL01_HELP_18	免費的卡牌！	
TUTORIAL02_HELP_01	你每回合能獲得1顆法力水晶。	
TUTORIAL02_HELP_02	卡片需要消耗法力才能施放。	
TUTORIAL02_HELP_03	你所使用的法力水晶每回合會自動恢復。	
TUTORIAL02_HELP_04	你有{0}點法力。	
TUTORIAL02_HELP_06	解決米歐浩斯！	
TUTORIAL02_HELP_07	有效使用你的法力來解決這個煩人的地精！	
TUTORIAL02_STARTING_HAND	起手的手牌	
TUTORIAL03_HELP_01	這隻猩猩有嘲諷能力。	
TUTORIAL03_HELP_02	國王萬歲	
TUTORIAL03_HELP_03	不了解某張卡牌的能力？把滑鼠移到卡牌上！	
TUTORIAL03_HELP_03_TOUCH	不了解卡牌的能力？點觸按住不放就有說明！	
TUTORIAL04_HELP_01	你每回合可以使用一次英雄能力。	
TUTORIAL04_HELP_02	羊了它！	
TUTORIAL04_HELP_03	留著對付沼地蠕行者！	
TUTORIAL04_HELP_14	叢林歡迎你	
TUTORIAL04_HELP_15	殺死他的手下，否則你會被他擊敗！	
TUTORIAL04_HELP_16	使用你的英雄能力和法術來擊敗敵方手下！	
TUTORIAL05_HELP_01	武器會在攻擊時失去耐久度。	
TUTORIAL05_HELP_02	背叛者	
TUTORIAL05_HELP_03	這場戰鬥一點都不公平。去怪那些糟糕的遊戲設計師吧。	
TUTORIAL05_HELP_04	有嘲諷的手下能保護你不受到攻擊！	
TUTORIAL05_WEAPON_DESC	讓你的英雄進行攻擊，直到耐久度歸零。	
TUTORIAL05_WEAPON_HEADLINE	武器	
TUTORIAL06_HELP_01	博學行者阿洲	
TUTORIAL06_HELP_02	當手下互相攻擊時，他們會*同時*受到傷害。	
TUTORIAL06_HELP_03	有「戰吼」的手下會在被你打出時產生特別的效果。	
TUTORIAL06_HELP_04	在敵方手下的陣仗變得難以收拾之前解決他們！	
