TAG	TEXT	COMMENT
TUTORIAL01_HOGGER_01	*笑聲*	
TUTORIAL01_HOGGER_02	*哼聲*	
TUTORIAL01_HOGGER_04	哈哈哈！啦啊。	
TUTORIAL01_HOGGER_05	嘿嘿嘿哈哈哈！	
TUTORIAL01_HOGGER_06	嘿嘿嘿呼呼呼！	
TUTORIAL01_HOGGER_07	哈哈！	
TUTORIAL01_HOGGER_08	啊嗚！	
TUTORIAL01_JAINA_01	來吧！	
TUTORIAL01_JAINA_02	我需要些手下幫我作戰。	
TUTORIAL01_JAINA_03	該你了，豺狼人。	
TUTORIAL01_JAINA_04	你會後悔的！	
TUTORIAL01_JAINA_05	很好。	
TUTORIAL01_JAINA_06	哈！又是手下，正是我需要的。	
TUTORIAL01_JAINA_07	你正被我牽著鼻子走。	
TUTORIAL01_JAINA_09	哈！該下殺手了！	
TUTORIAL01_JAINA_10	5點攻擊！這東西可真大隻！	
TUTORIAL01_JAINA_13	滾回暴風城的監獄吧，霍格。	
TUTORIAL01_JAINA_15	這樣的攻擊還殺不死我的手下！	
TUTORIAL01_JAINA_16	下一個就輪到你了，霍格！	
TUTORIAL01_JAINA_17	嗯…我該攻擊豺狼人，還是霍格呢？	
TUTORIAL01_JAINA_18	我可以殺死這隻巨大豺狼人，或直接攻擊他的主人。	
TUTORIAL01_JAINA_19	法術卡！這只能使用一次，所以最好用在關鍵點上…	
TUTORIAL01_JAINA_20	好吧，至少他這回合沒有出牌。	
TUTORIAL01_JAINA_21	兩張牌？！他一定是一直藏著一張。	
TUTORIAL02_JAINA_03	*嘆氣*幹嘛？	
TUTORIAL02_JAINA_04	我需要等一個回合恢復法力。	
TUTORIAL02_JAINA_05	我需要更多法力才能出這張牌。	
TUTORIAL02_JAINA_07	更多卡片！棒透了！	
TUTORIAL02_JAINA_08	啊。我的法力恢復了。	
TUTORIAL02_MILLHOUSE_01	什麼？為什麼是你先？	
TUTORIAL02_MILLHOUSE_02	珍娜…準備面對強大的米歐浩斯·曼納斯頓！	
TUTORIAL02_MILLHOUSE_03	這是什麼手下？魚人？哇哈哈哈哈！	
TUTORIAL02_MILLHOUSE_04	噢，噢，這張卡太讚了！	
TUTORIAL02_MILLHOUSE_05	等我有更多法力你就知道！	
TUTORIAL02_MILLHOUSE_06	珍娜，希望你喜歡末日！	
TUTORIAL02_MILLHOUSE_07	更多法力！要來囉！	
TUTORIAL02_MILLHOUSE_08	你知道這個感覺嗎？	
TUTORIAL02_MILLHOUSE_09	唉，勝利啊！	
TUTORIAL02_MILLHOUSE_10	唉呀！小心鬍子！	
TUTORIAL02_MILLHOUSE_11	你會喜歡這個的！	
TUTORIAL02_MILLHOUSE_13	等我有10點法力你就知道了！	
TUTORIAL02_MILLHOUSE_15	快點！我等不及要打這張牌了！	
TUTORIAL02_MILLHOUSE_16	快點快點快點快點！	
TUTORIAL02_MILLHOUSE_17	別再攻擊我了！我想贏這場比賽！	
TUTORIAL02_MILLHOUSE_19	你會收到我的律師函的！	
TUTORIAL03_JAINA_01	是穆克拉！趁他落單時解決他！	
TUTORIAL03_JAINA_05	你只會這招嗎，穆克拉？酒桶？	
TUTORIAL03_JAINA_07	殺死那個猩猩，好讓我解決穆克拉！	
TUTORIAL03_JAINA_12	你有聽到什麼嗎？	
TUTORIAL03_JAINA_13	搞什麼？	
TUTORIAL03_JAINA_14	這些猴子為什麼對我丟香蕉？	
TUTORIAL03_JAINA_15	這些瘋猴子！	
TUTORIAL03_JAINA_16	他太強了！先解決穆克拉吧！	
