TAG	TEXT	COMMENT
ZILLIAX_DELUXE_COMBINED_MODULE_1_2	<b>飄渺</b>、<b>致命劇毒</b>、\n<b>聖盾術</b>、<b>嘲諷</b>、\n<b>生命竊取</b>、<b>衝刺</b>	
ZILLIAX_DELUXE_COMBINED_MODULE_1_3	<b>飄渺</b>、<b>致命劇毒</b>\n你的其他手下獲得+1攻擊力	
ZILLIAX_DELUXE_COMBINED_MODULE_1_4	<b>飄渺</b>、<b>致命劇毒</b>\n在你的回合結束時，對你的英雄造成3點傷害	
ZILLIAX_DELUXE_COMBINED_MODULE_1_5	[x]<b>飄渺</b>、<b>致命劇毒</b>\n在你的回合開始時，將\n此手下的攻擊力\n加倍	
ZILLIAX_DELUXE_COMBINED_MODULE_1_6	<b>飄渺</b>、<b>致命劇毒</b>\n每個友方手下使其消耗減少(1)	
ZILLIAX_DELUXE_COMBINED_MODULE_1_7	<b>飄渺</b>、<b>致命劇毒</b>\n<b>戰吼：</b>召喚一個此手下的分身	
ZILLIAX_DELUXE_COMBINED_MODULE_1_8	<b>飄渺</b>、<b>致命劇毒</b>\n<b>死亡之聲：</b>將這張牌洗入你的牌堆	
ZILLIAX_DELUXE_COMBINED_MODULE_2_3	<b>聖盾術</b>、<b>嘲諷</b>\n<b>生命竊取</b>、<b>衝刺</b>\n你的其他手下\n獲得+1攻擊力	
ZILLIAX_DELUXE_COMBINED_MODULE_2_4	<b>聖盾術</b>、<b>嘲諷</b>、\n<b>生命竊取</b>、<b>衝刺</b>\n在你的回合結束時，對你的英雄造成3點傷害	
ZILLIAX_DELUXE_COMBINED_MODULE_2_5	<b>聖盾術</b>、<b>嘲諷</b>、\n<b>生命竊取</b>、<b>衝刺</b>\n在你的回合開始時，\n將此手下的攻擊力加倍	
ZILLIAX_DELUXE_COMBINED_MODULE_2_6	<b>聖盾術</b>、<b>嘲諷</b>、\n<b>生命竊取</b>、<b>衝刺</b>\n每個友方手下使其消耗減少(1)	
ZILLIAX_DELUXE_COMBINED_MODULE_2_7	<b>聖盾術</b>、<b>嘲諷</b>、\n<b>生命竊取</b>、<b>衝刺</b>\n<b>戰吼：</b>召喚一個\n此手下的分身	
ZILLIAX_DELUXE_COMBINED_MODULE_2_8	<b>聖盾術</b>、<b>嘲諷</b>、\n<b>生命竊取</b>、<b>衝刺</b>\n<b>死亡之聲：</b>將這張牌洗入你的牌堆	
ZILLIAX_DELUXE_COMBINED_MODULE_3_4	你的其他手下獲得\n+1攻擊力\n在你的回合結束時，對你的英雄造成3點傷害	
ZILLIAX_DELUXE_COMBINED_MODULE_3_5	你的其他手下獲得\n+1攻擊力\n在你的回合開始時，將此手下的攻擊力加倍	
ZILLIAX_DELUXE_COMBINED_MODULE_3_6	你的其他手下獲得\n+1攻擊力\n每個友方手下使其消耗減少(1)	
ZILLIAX_DELUXE_COMBINED_MODULE_3_7	你的其他手下獲得\n+1攻擊力\n<b>戰吼：</b>召喚一個此手下的分身	
ZILLIAX_DELUXE_COMBINED_MODULE_3_8	你的其他手下獲得\n+1攻擊力\n<b>死亡之聲：</b>將這張牌洗入你的牌堆	
ZILLIAX_DELUXE_COMBINED_MODULE_4_5	在你的回合結束時，對你的英雄造成3點傷害。\n在你的回合開始時，將此手下的攻擊力加倍	
ZILLIAX_DELUXE_COMBINED_MODULE_4_6	[x]在你的回合結束時，\n對你的英雄造成3點傷害。\n每個友方手下\n使其消耗減少(1)	
ZILLIAX_DELUXE_COMBINED_MODULE_4_7	在你的回合結束時，對你的英雄造成3點傷害。\n<b>戰吼：</b>召喚一個此手下的分身	
ZILLIAX_DELUXE_COMBINED_MODULE_4_8	在你的回合結束時，對你的英雄造成3點傷害。\n<b>死亡之聲：</b>將這張牌洗入你的牌堆	
ZILLIAX_DELUXE_COMBINED_MODULE_5_6	[x]在你的回合開始時，\n將此手下的攻擊力加倍。\n每個友方手下\n使其消耗減少(1)	
ZILLIAX_DELUXE_COMBINED_MODULE_5_7	在你的回合開始時，將此手下的攻擊力加倍。\n<b>戰吼：</b>召喚一個此手下的分身	
ZILLIAX_DELUXE_COMBINED_MODULE_5_8	在你的回合開始時，將此手下的攻擊力加倍。\n<b>死亡之聲：</b>將這張牌洗入你的牌堆	
ZILLIAX_DELUXE_COMBINED_MODULE_6_7	每個友方手下使其消耗減少(1)\n\n<b>戰吼：</b>召喚一個此手下的分身	
ZILLIAX_DELUXE_COMBINED_MODULE_6_8	[x]每個友方手下\n使其消耗減少(1)。\n<b>死亡之聲：</b>將這張牌洗入\n你的牌堆	
ZILLIAX_DELUXE_COMBINED_MODULE_7_8	<b>戰吼：</b>召喚一個此手下的分身。\n<b>死亡之聲：</b>將這張牌洗入你的牌堆	
