TAG	TEXT	COMMENT
GLUE_2X_GOLD_EVENT_BANNER_HEADLINE	ゴールドボーナス！	
GLUE_ADVENTURE	ソロ・アドベンチャー	
GLUE_ADVENTURE_ADVENTUREBOOK_DAL_FIRST_TIME_FLOW	この章は無料だ！楽しんでくれ！	
GLUE_ADVENTURE_ADVENTUREBOOK_DAL_FIRST_TIME_FLOW_HEADER	開放	
GLUE_ADVENTURE_ADVENTUREBOOK_DAL_UNLOCK_CHAPTER1	第I章をチェックしよう！	
GLUE_ADVENTURE_BONUS_CHALLENGE_LABEL	最後の闘争	
GLUE_ADVENTURE_BOSS_HEADER	ボス情報	
GLUE_ADVENTURE_BOT_BOOM_BOARD_CLEAR_TOOLTIP	<b>盤面クリア</b>区画を攻略すると\n利用可能になるぞ。	
GLUE_ADVENTURE_BOT_BOOM_LETHAL_TOOLTIP	<b>リーサル</b>区画を攻略すると\n利用可能になるぞ。	
GLUE_ADVENTURE_BOT_BOOM_MIRROR_TOOLTIP	<b>ミラー</b>区画を攻略すると\n利用可能になるぞ。	
GLUE_ADVENTURE_BOT_BOOM_SURVIVAL_TOOLTIP	<b>サバイバル</b>区画を攻略すると\n利用可能になるぞ。	
GLUE_ADVENTURE_BOT_BOOM_TOOLTIP_HEADER	立入禁止中	
GLUE_ADVENTURE_BOT_INTRO_BANNER_TEXT	ブーム研究所へようこそ！	
GLUE_ADVENTURE_BOT_WING_BOARD_CLEAR	盤面クリア	
GLUE_ADVENTURE_BOT_WING_LETHAL	リーサル	
GLUE_ADVENTURE_BOT_WING_MIRROR	ミラー	
GLUE_ADVENTURE_BOT_WING_SURVIVAL	サバイバル	
GLUE_ADVENTURE_CARDBACKPAGE_DAL_EVILCARD_NAME_HEROIC	無罪放免！	
GLUE_ADVENTURE_CARDBACKPAGE_DAL_EVILCARD_NAME_NORMAL	莫大！特賞同盟	
GLUE_ADVENTURE_CHAPTER_PURCHASED_POPUPDESCRIPTION_DAL_CHAPTER1	第I章: ダララン銀行	
GLUE_ADVENTURE_CHAPTER_PURCHASED_POPUPDESCRIPTION_DAL_CHAPTER2	第II章: ヴァイオレット監獄	
GLUE_ADVENTURE_CHAPTER_PURCHASED_POPUPDESCRIPTION_DAL_CHAPTER3	第III章: ダラランの街	
GLUE_ADVENTURE_CHAPTER_PURCHASED_POPUPDESCRIPTION_DAL_CHAPTER4	第IV章: 最下層	
GLUE_ADVENTURE_CHAPTER_PURCHASED_POPUPDESCRIPTION_DAL_CHAPTER5	第V章: キリン・トア城砦	
GLUE_ADVENTURE_CHAPTER_TITLE_DAL_CHAPTER1	I. ダララン銀行	
GLUE_ADVENTURE_CHAPTER_TITLE_DAL_CHAPTER2	II. ヴァイオレット監獄 	
GLUE_ADVENTURE_CHAPTER_TITLE_DAL_CHAPTER3	III. ダラランの街	
GLUE_ADVENTURE_CHAPTER_TITLE_DAL_CHAPTER4	IV. 最下層	
GLUE_ADVENTURE_CHAPTER_TITLE_DAL_CHAPTER5	V. キリン・トア城砦	
GLUE_ADVENTURE_CHAPTERPAGE_DESCRIPTION_DAL_CHAPTER1	ダララン銀行に押し入り、\n貴重な秘宝の数々を強奪しよう	
GLUE_ADVENTURE_CHAPTERPAGE_DESCRIPTION_DAL_CHAPTER2	この魔法の牢獄の看守たちを倒し、\n恐るべき囚人たちを解き放とう	
GLUE_ADVENTURE_CHAPTERPAGE_DESCRIPTION_DAL_CHAPTER3	ダラランの商人たちを牛耳って、\n街の中心地を支配しよう	
GLUE_ADVENTURE_CHAPTERPAGE_DESCRIPTION_DAL_CHAPTER4	ドクター・ブームのロケットを取り付けるため、地下トンネルの住民たちを蹴散らそう	
GLUE_ADVENTURE_CHAPTERPAGE_DESCRIPTION_DAL_CHAPTER5	キリン・トアを導いる魔術師たちと戦い、\n街を悪党同盟の手中に納めるのだ！	
GLUE_ADVENTURE_CHAPTERPAGE_GLOBALRULE_DAL_CHAPTER1	どんでん返し: コイン入りの箱	
GLUE_ADVENTURE_CHAPTERPAGE_GLOBALRULE_DAL_CHAPTER2	どんでん返し: 脱獄するミニオン	
GLUE_ADVENTURE_CHAPTERPAGE_GLOBALRULE_DAL_CHAPTER3	どんでん返し: 狭い路地	
GLUE_ADVENTURE_CHAPTERPAGE_GLOBALRULE_DAL_CHAPTER4	どんでん返し: 攻撃力と体力が入れ替わる	
GLUE_ADVENTURE_CHAPTERPAGE_GLOBALRULE_DAL_CHAPTER5	どんでん返し: 追加の遭遇	
GLUE_ADVENTURE_CHAPTERUNLOCKED_POPUP_TITLE	この章がプレイ可能に！	
GLUE_ADVENTURE_DUNGEON_CRAWL_ANOMALY_MODE_BUTTON_LOCKED_TOOLTIP_BODY	1回の挑戦が終わるまでの間ずっと、ランダムな効果が適用されるんだ。このモードを解禁するには全ての章を開放する必要があるぞ！	
GLUE_ADVENTURE_DUNGEON_CRAWL_ANOMALY_MODE_BUTTON_LOCKED_TOOLTIP_HEADER	異常モード（未開放）	
GLUE_ADVENTURE_DUNGEON_CRAWL_ANOMALY_MODE_BUTTON_TOOLTIP_HEADER	異常モード	
GLUE_ADVENTURE_DUNGEON_CRAWL_ANOMALY_MODE_PANEL_DESCRIPTION	この挑戦が終わるまで、ランダムな効果を得る。	
GLUE_ADVENTURE_DUNGEON_CRAWL_BOSS_HERO_POWER_TOOLTIP	カーソルを合わせてボス・ヒーローパワー確認	
